"","id","country","region","city","date","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","review_scores_rating","availability_30","price_30","revenue_30"
"1",50904,"belgium","vlg","antwerp","2020-06-22","Historisch Centrum",51.21858,4.3985,"Boutique hotel","Hotel room",2,"1",1,"$145.00",1,60,100,29,155,155
"2",116134,"belgium","vlg","antwerp","2020-06-22","Eilandje",51.23051,4.40593,"Apartment","Entire home/apt",4,"2",2,"$150.00",2,30,99,16,150,2100
"3",224333,"belgium","vlg","antwerp","2020-06-22","Deurne Zuid West",51.19772,4.45853,"House","Private room",2,"1",1,"$16.00",14,365,NA,18,16,192
"4",224682,"belgium","vlg","antwerp","2020-06-22","Sint-Andries",51.21722,4.3979,"Apartment","Entire home/apt",3,"1",2,"$105.00",2,30,95,0,115,3450
"5",328911,"belgium","vlg","antwerp","2020-06-22","Stadspark",51.21078,4.4105,"Apartment","Entire home/apt",2,"1",1,"$55.00",15,365,93,0,44,1320
"6",345959,"belgium","vlg","antwerp","2020-06-22","Markgrave",51.19935,4.40154,"Apartment","Entire home/apt",3,"2",2,"$45.00",3,90,95,0,55,1650
"7",366252,"belgium","vlg","antwerp","2020-06-22","Borgerhout Intra Muros Noord",51.21601,4.43432,"Apartment","Private room",2,"1",1,"$31.00",1,365,91,30,NA,0
"8",445201,"belgium","vlg","antwerp","2020-06-22","Borgerhout Intra Muros Noord",51.21579,4.43265,"Apartment","Private room",1,"2",0,"$30.00",5,365,91,25,22,110
"9",465282,"belgium","vlg","antwerp","2020-06-22","Harmonie",51.2014,4.40649,"Apartment","Entire home/apt",1,"1",1,"$48.00",2,1125,83,0,40,1200
"10",522693,"belgium","vlg","antwerp","2020-06-22","Historisch Centrum",51.22001,4.39813,"Apartment","Entire home/apt",4,"1",2,"$195.00",2,21,NA,30,NA,0
"11",553618,"belgium","vlg","antwerp","2020-06-22","Eilandje",51.23183,4.40478,"Loft","Entire home/apt",2,"1",1,"$150.00",2,1125,94,4,150,3900
"12",569956,"belgium","vlg","antwerp","2020-06-22","Historisch Centrum",51.22397,4.40464,"Apartment","Entire home/apt",2,"1",1,"$60.00",2,31,100,0,30,900
"13",573641,"belgium","vlg","antwerp","2020-06-22","Hoogte",51.18187,4.39381,"Apartment","Entire home/apt",2,"1",1,"$98.00",3,90,95,29,98,98
"14",575935,"belgium","vlg","antwerp","2020-06-22","Hoogte",51.18152,4.39463,"Apartment","Private room",4,"2",2,"$60.00",2,200,96,29,60,60
"15",603545,"belgium","vlg","antwerp","2020-06-22","Harmonie",51.20753,4.40589,"Loft","Entire home/apt",2,"1",1,"$150.00",2,365,95,14,150,2400
"16",636664,"belgium","vlg","antwerp","2020-06-22","Borgerhout Intra Muros Zuid",51.21618,4.43037,"Apartment","Entire home/apt",5,"2",3,"$85.00",2,365,88,17,85,1105
"17",639013,"belgium","vlg","antwerp","2020-06-22","Borgerhout Intra Muros Noord",51.21748,4.4456,"Townhouse","Private room",2,"1",1,"$85.00",2,4,93,0,85,2550
"18",685049,"belgium","vlg","antwerp","2020-06-22","Oud - Berchem",51.19589,4.41443,"House","Private room",3,"1",1,"$65.00",2,21,93,29,65,65
"19",685053,"belgium","vlg","antwerp","2020-06-22","Oud - Berchem",51.19482,4.41339,"House","Private room",3,"1",2,"$120.00",2,1125,NA,0,120,3600
"20",723033,"belgium","vlg","antwerp","2020-06-22","Stadspark",51.20955,4.41481,"Apartment","Entire home/apt",6,"1",6,"$60.00",2,30,91,0,63.5,1905
"21",772842,"belgium","vlg","antwerp","2020-06-22","Linkeroever",51.21775,4.38434,"Loft","Entire home/apt",2,"1",1,"$75.00",7,1125,87,17,55,715
"22",778043,"belgium","vlg","antwerp","2020-06-22","Stadspark",51.20399,4.41249,"Apartment","Entire home/apt",2,"1",1,"$65.00",2,21,92,6,65,1560
"23",789555,"belgium","vlg","antwerp","2020-06-22","Centraal Station",51.2117,4.42665,"Apartment","Entire home/apt",4,"1",1,"$93.00",2,1125,97,0,93,2790
"24",813969,"belgium","vlg","antwerp","2020-06-22","Zuid",51.21264,4.39098,"Apartment","Entire home/apt",6,"2",3,"$177.00",1,1125,95,5,190.44,4761
"25",842077,"belgium","vlg","antwerp","2020-06-22","Amandus - Atheneum",51.2215,4.42606,"House","Private room",7,"1",4,"$40.00",1,365,95,28,40,80
"26",866701,"belgium","vlg","antwerp","2020-06-22","Amandus - Atheneum",51.2215,4.42606,"House","Private room",7,"1",4,"$40.00",1,365,96,29,40,40
"27",890384,"belgium","vlg","antwerp","2020-06-22","Centraal Station",51.21198,4.4269,"House","Entire home/apt",4,"2",4,"$150.00",7,1125,NA,0,150,4500
"28",891355,"belgium","vlg","antwerp","2020-06-22","Universiteitsbuurt",51.22043,4.40562,"Townhouse","Private room",2,"1",1,"$85.00",2,14,90,0,85,2550
"29",891884,"belgium","vlg","antwerp","2020-06-22","Historisch Centrum",51.21874,4.39835,"Boutique hotel","Hotel room",2,"1",1,"$150.00",1,1125,97,28,160,320
"30",891907,"belgium","vlg","antwerp","2020-06-22","Historisch Centrum",51.21825,4.39901,"Apartment","Entire home/apt",4,"2",2,"$180.00",2,366,100,30,NA,0
"31",959200,"belgium","vlg","antwerp","2020-06-22","Borgerhout Intra Muros Noord",51.21596,4.43764,"Apartment","Entire home/apt",2,"1",1,"$48.00",2,30,97,23,48,336
"32",961296,"belgium","vlg","antwerp","2020-06-22","Borgerhout Intra Muros Noord",51.21531,4.44498,"House","Entire home/apt",10,"5+",5,"$340.00",2,30,93,23,340,2380
"33",991824,"belgium","vlg","antwerp","2020-06-22","Deurne Zuid West",51.20316,4.46015,"Apartment","Entire home/apt",5,"3",5,"$77.00",1,1125,93,30,NA,0
"34",1038791,"belgium","vlg","antwerp","2020-06-22","Universiteitsbuurt",51.22252,4.40751,"Apartment","Entire home/apt",2,"1",2,"$62.00",2,1125,93,0,62,1860
"35",1050693,"belgium","vlg","antwerp","2020-06-22","Deurne Zuid West",51.20316,4.46015,"Apartment","Entire home/apt",5,"3",5,"$77.00",1,1125,90,30,NA,0
"36",1105318,"belgium","vlg","antwerp","2020-06-22","Zuid",51.21024,4.39995,"Apartment","Entire home/apt",2,"1",2,"$75.00",2,1125,89,30,NA,0
"37",1108491,"belgium","vlg","antwerp","2020-06-22","Amandus - Atheneum",51.2215,4.42606,"House","Private room",2,"1",4,"$40.00",1,365,97,29,40,40
"38",1138959,"belgium","vlg","antwerp","2020-06-22","Zurenborg",51.20755,4.43175,"House","Private room",2,"1",1,"$35.00",5,1125,88,0,35,1050
"39",1172376,"belgium","vlg","antwerp","2020-06-22","Zuid",51.21026,4.40138,"Apartment","Entire home/apt",2,"1",2,"$80.00",1,1125,90,30,NA,0
"40",1172826,"belgium","vlg","antwerp","2020-06-22","Deurne Zuid West",51.19813,4.45807,"House","Private room",2,"1",1,"$16.00",7,365,100,3,16,432
"41",1184623,"belgium","vlg","antwerp","2020-06-22","Eilandje",51.23133,4.41015,"Loft","Entire home/apt",6,"2",2,"$175.00",2,1125,96,28,170,340
"42",1209063,"belgium","vlg","antwerp","2020-06-22","Borgerhout Intra Muros Zuid",51.21053,4.43308,"Apartment","Entire home/apt",2,"1",1,"$77.00",1,1125,96,21,77,693
"43",1227242,"belgium","vlg","antwerp","2020-06-22","Eilandje",51.22775,4.40388,"Boat","Private room",16,"5+",20,"$60.00",1,1125,93,22,60,480
"44",1266888,"belgium","vlg","antwerp","2020-06-22","Amandus - Atheneum",51.2229,4.4184,"Apartment","Entire home/apt",4,"2",2,"$90.00",2,1125,96,0,90,2700
"45",1267516,"belgium","vlg","antwerp","2020-06-22","Zurenborg",51.207,4.42702,"Apartment","Entire home/apt",2,"1",1,"$179.00",1,1125,73,29,179,179
"46",1292916,"belgium","vlg","antwerp","2020-06-22","Stadspark",51.21432,4.41321,"Apartment","Private room",2,"1",1,"$45.00",2,1125,97,0,40,1200
"47",1306743,"belgium","vlg","antwerp","2020-06-22","Historisch Centrum",51.22396,4.40464,"Apartment","Entire home/apt",2,"1",1,"$70.00",3,1125,80,0,40,1200
"48",1328770,"belgium","vlg","antwerp","2020-06-22","Eilandje",51.22875,4.40254,"Boat","Private room",16,"1",16,"$60.00",1,1125,90,22,60,480
"49",1338036,"belgium","vlg","antwerp","2020-06-22","Borgerhout Extra Muros",51.19796,4.45632,"Townhouse","Private room",3,"2",3,"$60.00",3,1125,93,0,60,1800
"50",1405414,"belgium","vlg","antwerp","2020-06-22","Stadspark",51.21388,4.41573,"Apartment","Entire home/apt",4,"2",3,"$90.00",3,1125,95,0,90,2700
"51",1427505,"belgium","vlg","antwerp","2020-06-22","Stadspark",51.21205,4.41315,"Apartment","Entire home/apt",2,"1",1,"$80.00",10,600,93,0,85,2550
"52",1444602,"belgium","vlg","antwerp","2020-06-22","Zurenborg",51.20794,4.42839,"Apartment","Entire home/apt",3,"2",2,"$50.00",4,13,93,0,50,1500
"53",1504952,"belgium","vlg","antwerp","2020-06-22","Centraal Station",51.21692,4.42749,"Bed and breakfast","Private room",12,"4",8,"$100.00",1,1125,95,25,100,500
"54",1534890,"belgium","vlg","antwerp","2020-06-22","Deurne Noord",51.23229,4.45124,"Other","Private room",8,"2",4,"$35.00",1,1125,92,0,35,1050
"55",1577011,"belgium","vlg","antwerp","2020-06-22","Stuivenberg",51.22105,4.42809,"Apartment","Entire home/apt",4,"2",2,"$65.00",4,1125,97,17,65,845
"56",1585405,"belgium","vlg","antwerp","2020-06-22","Deurne Dorp - Gallifort",51.22337,4.46923,"House","Private room",2,"1",1,"$35.00",2,1125,97,28,45,90
"57",1666809,"belgium","vlg","antwerp","2020-06-22","Historisch Centrum",51.22487,4.40336,"Condominium","Entire home/apt",4,"2",2,"$100.00",2,1125,100,5,75,1875
"58",1708652,"belgium","vlg","antwerp","2020-06-22","Zurenborg",51.20828,4.42645,"Apartment","Entire home/apt",2,"1",1,"$70.00",2,1125,100,30,NA,0
"59",1785355,"belgium","vlg","antwerp","2020-06-22","Stuivenberg",51.22266,4.43502,"Apartment","Private room",2,"1",1,"$36.00",1,1125,92,30,NA,0
"60",1791465,"belgium","vlg","antwerp","2020-06-22","Borgerhout Intra Muros Noord",51.21406,4.43907,"Apartment","Entire home/apt",4,"2",3,"$38.00",3,366,92,4,52.5769230769231,1367
"61",1808782,"belgium","vlg","antwerp","2020-06-22","Sint-Andries",51.21232,4.39571,"Loft","Entire home/apt",2,"1",1,"$110.00",2,60,99,14,111.5625,1785
"62",1986344,"belgium","vlg","antwerp","2020-06-22","Zuid",51.21094,4.39756,"Loft","Entire home/apt",4,"1",2,"$104.00",4,1125,90,9,105,2205
"63",2059299,"belgium","vlg","antwerp","2020-06-22","Haringrode",51.20202,4.41754,"Townhouse","Private room",2,"1",1,"$22.00",2,366,90,25,23,115
"64",2059774,"belgium","vlg","antwerp","2020-06-22","Oud - Berchem",51.19714,4.41722,"Apartment","Entire home/apt",3,"1",2,"$85.00",6,1125,96,27,85,255
"65",2069688,"belgium","vlg","antwerp","2020-06-22","Historisch Centrum",51.22642,4.401,"Apartment","Entire home/apt",2,"0",1,"$60.00",1,1125,89,30,NA,0
"66",2073182,"belgium","vlg","antwerp","2020-06-22","Stadspark",51.20612,4.41758,"Apartment","Entire home/apt",2,"1",2,"$23.00",800,1125,NA,29,23,23
"67",2086302,"belgium","vlg","antwerp","2020-06-22","Groenenhoek",51.1958,4.4392,"Apartment","Entire home/apt",2,"1",1,"$45.00",30,1125,93,0,45,1350
"68",2133274,"belgium","vlg","antwerp","2020-06-22","Oosterveld - Elsdonk",51.17635,4.42433,"Bed and breakfast","Private room",2,"1",1,"$75.00",1,1125,89,30,NA,0
"69",2154692,"belgium","vlg","antwerp","2020-06-22","Stuivenberg",51.22725,4.43552,"Townhouse","Entire home/apt",3,"1",2,"$49.00",2,1125,96,0,59,1770
"70",2194840,"belgium","vlg","antwerp","2020-06-22","Universiteitsbuurt",51.2234,4.41389,"Apartment","Entire home/apt",4,"1",2,"$36.00",1,1125,88,0,41.9,1257
