"","id","country","region","city","date","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","review_scores_rating","availability_30","price_30","revenue_30"
"1",21974,"spain","catalonia","barcelona","2020-08-24","el Barri Gòtic",41.38077,2.17551,"Private room in apartment","Private room",2,"1",1,"$80.00",3,90,100,0,80,2400
"2",23197,"spain","catalonia","barcelona","2020-08-24","el Besòs i el Maresme",41.41291,2.22063,"Entire apartment","Entire home/apt",6,"3",5,"$200.00",3,300,95,30,NA,0
"3",25786,"spain","catalonia","barcelona","2020-08-24","la Vila de Gràcia",41.40145,2.15645,"Private room in apartment","Private room",2,"1",1,"$41.00",1,730,95,24,42,252
"4",32711,"spain","catalonia","barcelona","2020-08-24","el Camp d'en Grassot i Gràcia Nova",41.40566,2.17015,"Entire apartment","Entire home/apt",6,"2",3,"$102.86",2,31,86,0,139.833333333333,4195
"5",34241,"spain","catalonia","barcelona","2020-08-24","el Barri Gòtic",41.37916,2.17535,"Private room in apartment","Private room",2,"1",1,"$70.00",4,120,68,30,NA,0
"6",34981,"spain","catalonia","barcelona","2020-08-24","el Barri Gòtic",41.37978,2.17623,"Entire apartment","Entire home/apt",9,"4",6,"$180.00",4,365,91,30,NA,0
"7",35318,"spain","catalonia","barcelona","2020-08-24","el Barri Gòtic",41.38145,2.17544,"Private room in apartment","Private room",2,"1",2,"$69.00",3,60,94,30,NA,0
"8",35379,"spain","catalonia","barcelona","2020-08-24","l'Antiga Esquerra de l'Eixample",41.39036,2.15274,"Private room in apartment","Private room",2,"1",1,"$16.00",2,60,94,9,18.7619047619048,394
"9",35388,"spain","catalonia","barcelona","2020-08-24","l'Antiga Esquerra de l'Eixample",41.39065,2.15196,"Private room in apartment","Private room",1,"1",1,"$14.00",2,60,95,7,16.5652173913043,381
"10",35390,"spain","catalonia","barcelona","2020-08-24","l'Antiga Esquerra de l'Eixample",41.39153,2.15125,"Private room in apartment","Private room",1,"1",1,"$15.00",2,60,96,17,17.3846153846154,226
"11",35392,"spain","catalonia","barcelona","2020-08-24","l'Antiga Esquerra de l'Eixample",41.39082,2.15078,"Private room in apartment","Private room",2,"1",1,"$27.29",2,60,95,9,21.6666666666667,455
"12",36763,"spain","catalonia","barcelona","2020-08-24","la Barceloneta",41.37906,2.19141,"Private room in apartment","Private room",1,"1",1,"$34.00",2,65,94,29,33,33
"13",40983,"spain","catalonia","barcelona","2020-08-24","la Dreta de l'Eixample",41.39631,2.16832,"Entire loft","Entire home/apt",4,"1",1,"$30.00",2,364,94,4,44.2692307692308,1151
"14",41952,"spain","catalonia","barcelona","2020-08-24","el Camp d'en Grassot i Gràcia Nova",41.40565,2.16932,"Entire apartment","Entire home/apt",6,"2",4,"$110.00",3,365,88,30,NA,0
"15",46153,"spain","catalonia","barcelona","2020-08-24","Sant Pere, Santa Caterina i la Ribera",41.38776,2.17782,"Entire apartment","Entire home/apt",3,"2",3,"$31.00",93,300,70,22,31,248
"16",49968,"spain","catalonia","barcelona","2020-08-24","el Camp d'en Grassot i Gràcia Nova",41.4057,2.17016,"Entire apartment","Entire home/apt",6,"2",0,"$67.00",2,31,88,30,NA,0
"17",58512,"spain","catalonia","barcelona","2020-08-24","el Camp de l'Arpa del Clot",41.41129,2.18193,"Entire apartment","Entire home/apt",6,"3",4,"$85.00",5,90,89,23,85,595
"18",61444,"spain","catalonia","barcelona","2020-08-24","la Dreta de l'Eixample",41.38901,2.16552,"Entire apartment","Entire home/apt",6,"2",4,"$123.00",2,90,85,30,NA,0
"19",67065,"spain","catalonia","barcelona","2020-08-24","l'Antiga Esquerra de l'Eixample",41.39161,2.15089,"Entire apartment","Entire home/apt",7,"4",7,"$101.00",1,27,85,0,104.666666666667,3140
"20",68547,"spain","catalonia","barcelona","2020-08-24","el Barri Gòtic",41.38072,2.17811,"Private room in apartment","Private room",2,"1",2,"$49.00",2,730,95,30,NA,0
"21",70099,"spain","catalonia","barcelona","2020-08-24","el Raval",41.37828,2.1708,"Private room in bed and breakfast","Private room",2,"1",1,"$52.00",1,365,94,15,51.6666666666667,775
"22",71520,"spain","catalonia","barcelona","2020-08-24","Vallcarca i els Penitents",41.41837,2.13419,"Entire apartment","Entire home/apt",9,"3",5,"$207.00",5,28,100,28,195,390
