"","id","country","region","city","date","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","review_scores_rating","availability_30","price_30","revenue_30"
"1",28925,"france","nouvelle-aquitaine","bordeaux","2020-07-25","Centre ville (Bordeaux)",44.8491,-0.5935,"House","Entire home/apt",12,"5+",13,"$24.00",2,21,100,0,350,10500
"2",185534,"france","nouvelle-aquitaine","bordeaux","2020-07-25","Saint Augustin - Tauzin - Alphonse Dupeux",44.83063,-0.59331,"House","Entire home/apt",6,"3",3,"$125.00",4,15,NA,29,180,180
"3",218103,"france","nouvelle-aquitaine","bordeaux","2020-07-25","Bgles",44.81418,-0.54842,"Apartment","Entire home/apt",4,"1",1,"$110.00",2,21,95,6,102.916666666667,2470
"4",222887,"france","nouvelle-aquitaine","bordeaux","2020-07-25","Bordeaux Sud",44.83611,-0.5664,"Apartment","Entire home/apt",4,"2",3,"$145.00",3,90,94,8,163,3586
"5",317273,"france","nouvelle-aquitaine","bordeaux","2020-07-25","Chartrons - Grand Parc - Jardin Public",44.84782,-0.58105,"Apartment","Entire home/apt",3,"1",2,"$135.00",3,90,98,16,143,2002
"6",317658,"france","nouvelle-aquitaine","bordeaux","2020-07-25","Centre ville (Bordeaux)",44.83882,-0.56887,"Apartment","Entire home/apt",6,"2",4,"$155.00",3,90,97,5,160,4000
"7",333031,"france","nouvelle-aquitaine","bordeaux","2020-07-25","Centre ville (Bordeaux)",44.84267,-0.57656,"Apartment","Entire home/apt",2,"0",1,"$79.00",1,1125,98,20,75.5,755
"8",365993,"france","nouvelle-aquitaine","bordeaux","2020-07-25","Bgles",44.81149,-0.55825,"Apartment","Entire home/apt",6,"2",3,"$85.00",5,30,99,7,97.5217391304348,2243
"9",400306,"france","nouvelle-aquitaine","bordeaux","2020-07-25","La Bastide",44.8439,-0.55831,"Condominium","Entire home/apt",2,"1",1,"$59.00",2,1125,97,0,71.2,2136
"10",403245,"france","nouvelle-aquitaine","bordeaux","2020-07-25","Bordeaux Sud",44.83385,-0.57033,"Apartment","Entire home/apt",3,"1",2,"$59.00",2,31,86,0,99,2970
