"","id","country","region","city","date","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","review_scores_rating","availability_30","price_30","revenue_30"
"1",2352,"belgium","bru","brussels","2020-05-17","Molenbeek-Saint-Jean",50.85787,4.30809,"Apartment","Entire home/apt",5,"2",2,"$93.00",2,365,87,29,79,79
"2",2354,"belgium","bru","brussels","2020-05-17","Molenbeek-Saint-Jean",50.85697,4.30651,"Apartment","Entire home/apt",4,"1",1,"$78.00",2,365,80,28,74,148
"3",42521,"belgium","bru","brussels","2020-05-17","Ixelles",50.81971,4.38696,"Townhouse","Private room",2,"1",1,"$45.00",2,1125,99,29,40,40
"4",45145,"belgium","bru","brussels","2020-05-17","Saint-Josse-ten-Noode",50.853,4.36971,"Bed and breakfast","Hotel room",2,"1",1,"$100.00",1,730,100,25,120,600
"5",48180,"belgium","bru","brussels","2020-05-17","Woluwe-Saint-Pierre",50.83821,4.40683,"Apartment","Entire home/apt",2,"2",2,"$200.00",2,14,NA,29,200,200
"6",52796,"belgium","bru","brussels","2020-05-17","Ixelles",50.83356,4.36027,"Apartment","Entire home/apt",3,"1",1,"$74.00",5,120,97,28,74,148
"7",71744,"belgium","bru","brussels","2020-05-17","Bruxelles",50.85427,4.34842,"Apartment","Entire home/apt",2,"1",1,"$60.00",2,1125,98,0,60,1800
"8",80257,"belgium","bru","brussels","2020-05-17","Anderlecht",50.83992,4.33636,"Serviced apartment","Entire home/apt",3,"0",2,"$95.00",1,365,90,30,NA,0
"9",80320,"belgium","bru","brussels","2020-05-17","Anderlecht",50.83992,4.33636,"Serviced apartment","Entire home/apt",3,"0",2,"$85.00",1,365,93,30,NA,0
"10",80373,"belgium","bru","brussels","2020-05-17","Anderlecht",50.83992,4.33636,"Serviced apartment","Entire home/apt",3,"0",2,"$85.00",1,365,97,30,NA,0
"11",96293,"belgium","bru","brussels","2020-05-17","Anderlecht",50.84053,4.3363,"Serviced apartment","Entire home/apt",6,"1",4,"$135.00",1,365,87,30,NA,0
"12",96642,"belgium","bru","brussels","2020-05-17","Anderlecht",50.83992,4.33636,"Serviced apartment","Entire home/apt",3,"0",2,"$70.00",1,365,91,30,NA,0
"13",96694,"belgium","bru","brussels","2020-05-17","Anderlecht",50.83992,4.33636,"Serviced apartment","Entire home/apt",4,"1",3,"$85.00",1,365,92,30,NA,0
"14",97740,"belgium","bru","brussels","2020-05-17","Schaerbeek",50.86986,4.37712,"Bed and breakfast","Hotel room",4,"2",3,"$95.00",2,30,93,20,95,950
"15",97768,"belgium","bru","brussels","2020-05-17","Uccle",50.80532,4.33227,"Townhouse","Private room",2,"1",1,"$75.00",7,91,80,15,75,1125
