"","id","country","region","city","date","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","review_scores_rating","availability_30","price_30","revenue_30"
"1",132068,"spain","pv","euskadi","2020-04-30","Donostia-San SebastiÃ¡n",43.3252,-1.97209,"Condominium","Entire home/apt",4,"2",3,"$79.00",1,63,98,0,199,5970
"2",142760,"spain","pv","euskadi","2020-04-30","Busturia",43.39062,-2.6947,"Apartment","Entire home/apt",2,"1",1,"$91.00",5,730,96,30,NA,0
"3",223952,"spain","pv","euskadi","2020-04-30","Ibarrangelu",43.39426,-2.64648,"House","Entire home/apt",8,"4",9,"$150.00",7,760,96,1,150,4350
"4",261929,"spain","pv","euskadi","2020-04-30","Donostia-San SebastiÃ¡n",43.32147,-1.97785,"Apartment","Private room",2,"1",2,"$65.00",2,760,100,29,65,65
"5",263613,"spain","pv","euskadi","2020-04-30","Donostia-San SebastiÃ¡n",43.32157,-1.97851,"Apartment","Entire home/apt",5,"2",2,"$180.00",6,90,98,28,180,360
"6",286084,"spain","pv","euskadi","2020-04-30","Irun",43.33757,-1.81904,"Guest suite","Private room",2,"1",1,"$62.00",2,1125,98,0,62,1860
"7",309802,"spain","pv","euskadi","2020-04-30","Donostia-San SebastiÃ¡n",43.31582,-2.00394,"Apartment","Entire home/apt",6,"2",5,"$156.00",3,1125,80,14,155.0625,2481
"8",309813,"spain","pv","euskadi","2020-04-30","Donostia-San SebastiÃ¡n",43.31478,-1.98734,"Apartment","Entire home/apt",8,"3",5,"$300.00",31,124,93,30,NA,0
"9",309828,"spain","pv","euskadi","2020-04-30","Donostia-San SebastiÃ¡n",43.31631,-1.98617,"Apartment","Entire home/apt",8,"3",5,"$180.00",31,124,100,0,180,5400
"10",309830,"spain","pv","euskadi","2020-04-30","Donostia-San SebastiÃ¡n",43.31679,-1.98624,"Apartment","Private room",10,"4",7,"$250.00",3,124,95,18,250,3000
"11",329695,"spain","pv","euskadi","2020-04-30","Plentzia",43.40585,-2.94824,"House","Entire home/apt",6,"3",6,"$180.00",3,365,96,30,NA,0
"12",341691,"spain","pv","euskadi","2020-04-30","Bilbao",43.26317,-2.94752,"Apartment","Private room",2,"1",1,"$60.00",2,90,94,29,60,60
"13",360571,"spain","pv","euskadi","2020-04-30","Donostia-San SebastiÃ¡n",43.30453,-1.97554,"Apartment","Entire home/apt",4,"2",2,"$150.00",4,1125,92,30,NA,0
"14",376823,"spain","pv","euskadi","2020-04-30","Oiartzun",43.2971,-1.86289,"Villa","Entire home/apt",12,"5+",10,"$800.00",4,1125,NA,28,800,1600
"15",386301,"spain","pv","euskadi","2020-04-30","Donostia-San SebastiÃ¡n",43.32412,-1.97071,"Apartment","Entire home/apt",4,"2",0,"$100.00",2,1125,95,29,100,100
"16",386818,"spain","pv","euskadi","2020-04-30","Hondarribia",43.37335,-1.80619,"Guesthouse","Entire home/apt",1,"0",1,"$9.00",1,1125,94,0,9,270
"17",393715,"spain","pv","euskadi","2020-04-30","Mutriku",43.3078,-2.38691,"Loft","Entire home/apt",3,"2",2,"$70.00",2,1125,93,30,NA,0
"18",404270,"spain","pv","euskadi","2020-04-30","Donostia-San SebastiÃ¡n",43.32442,-1.98384,"Hostel","Hotel room",1,"1",1,"$80.00",7,90,89,0,80,2400
"19",417854,"spain","pv","euskadi","2020-04-30","Donostia-San SebastiÃ¡n",43.3053,-1.98,"Apartment","Private room",2,"1",1,"$80.00",2,1125,96,29,80,80
"20",424487,"spain","pv","euskadi","2020-04-30","Gorliz",43.41362,-2.93662,"Loft","Entire home/apt",3,"1",1,"$90.00",3,90,95,30,NA,0
"21",429657,"spain","pv","euskadi","2020-04-30","Ibarrangelu",43.38659,-2.63097,"Apartment","Entire home/apt",3,"1",2,"$120.00",2,30,99,28,100,200
"22",429887,"spain","pv","euskadi","2020-04-30","Donostia-San SebastiÃ¡n",43.32489,-1.98353,"Hostel","Private room",2,"1",1,"$130.00",7,180,83,6,116.666666666667,2800
"23",430475,"spain","pv","euskadi","2020-04-30","Donostia-San SebastiÃ¡n",43.31274,-2.00474,"Apartment","Entire home/apt",5,"3",3,"$147.00",6,365,98,0,60,1800
"24",443362,"spain","pv","euskadi","2020-04-30","Donostia-San SebastiÃ¡n",43.32466,-1.98436,"Hostel","Private room",1,"1",1,"$80.00",3,210,80,0,70,2100
"25",452464,"spain","pv","euskadi","2020-04-30","Durango",43.15336,-2.61773,"House","Private room",7,"3",5,"$130.00",2,30,94,0,130,3900
"26",456366,"spain","pv","euskadi","2020-04-30","Bilbao",43.26258,-2.9433,"Apartment","Private room",2,"1",1,"$95.00",2,180,92,0,95,2850
"27",456706,"spain","pv","euskadi","2020-04-30","Bilbao",43.26456,-2.94349,"Apartment","Private room",2,"1",1,"$75.00",2,1125,90,0,75,2250
"28",457366,"spain","pv","euskadi","2020-04-30","Donostia-San SebastiÃ¡n",43.32305,-1.98257,"Hostel","Private room",3,"1",3,"$150.00",7,60,89,21,112.222222222222,1010
"29",491403,"spain","pv","euskadi","2020-04-30","AbadiÃ±o",43.15173,-2.61799,"House","Private room",3,"1",2,"$57.00",1,30,100,0,57,1710
"30",492561,"spain","pv","euskadi","2020-04-30","Durango",43.15249,-2.61748,"House","Private room",5,"2",4,"$93.00",2,30,97,0,93,2790
"31",492633,"spain","pv","euskadi","2020-04-30","AbadiÃ±o",43.1538,-2.61728,"House","Private room",2,"1",1,"$59.00",1,14,98,24,59,354
"32",512917,"spain","pv","euskadi","2020-04-30","Donostia-San SebastiÃ¡n",43.31542,-2.00173,"Apartment","Entire home/apt",4,"2",0,"$160.00",2,30,94,0,160,4800
"33",533925,"spain","pv","euskadi","2020-04-30","Deba",43.28019,-2.32512,"Townhouse","Entire home/apt",8,"3",5,"$225.00",5,30,83,0,235,7050
"34",534069,"spain","pv","euskadi","2020-04-30","Donostia-San SebastiÃ¡n",43.32352,-1.98504,"Apartment","Entire home/apt",2,"1",1,"$70.00",31,1100,98,30,NA,0
"35",544285,"spain","pv","euskadi","2020-04-30","Donostia-San SebastiÃ¡n",43.30991,-2.00161,"Apartment","Private room",2,"1",1,"$55.00",1,1125,97,29,55,55
"36",547513,"spain","pv","euskadi","2020-04-30","Donostia-San SebastiÃ¡n",43.32432,-1.97208,"Apartment","Private room",2,"1",1,"$75.00",2,9,94,0,76.6666666666667,2300
"37",559545,"spain","pv","euskadi","2020-04-30","Labastida",42.58841,-2.7915,"Apartment","Entire home/apt",4,"3",6,"$78.00",2,360,93,3,75.1481481481482,2029
"38",592243,"spain","pv","euskadi","2020-04-30","Bilbao",43.2548,-2.93473,"Apartment","Private room",2,"1",1,"$48.00",5,60,89,25,40.8,204
"39",617702,"spain","pv","euskadi","2020-04-30","Deba",43.29081,-2.3562,"Apartment","Entire home/apt",7,"3",4,"$90.00",3,30,89,27,95,285
"40",618478,"spain","pv","euskadi","2020-04-30","Donostia-San SebastiÃ¡n",43.30663,-1.97548,"Apartment","Entire home/apt",4,"3",3,"$130.00",3,30,75,30,NA,0
"41",641478,"spain","pv","euskadi","2020-04-30","Gatika",43.38766,-2.91995,"Cottage","Entire home/apt",12,"5+",9,"$480.00",2,14,94,25,480,2400
"42",645548,"spain","pv","euskadi","2020-04-30","Plentzia",43.40588,-2.94743,"Apartment","Entire home/apt",4,"2",4,"$59.00",2,15,96,24,61.6666666666667,370
"43",647882,"spain","pv","euskadi","2020-04-30","Donostia-San SebastiÃ¡n",43.3253,-1.97295,"Apartment","Entire home/apt",5,"3",3,"$100.00",5,65,94,0,100,3000
"44",658639,"spain","pv","euskadi","2020-04-30","Labastida",42.59065,-2.79621,"House","Private room",2,"1",1,"$70.00",1,1125,100,0,93.3333333333333,2800
"45",664737,"spain","pv","euskadi","2020-04-30","Donostia-San SebastiÃ¡n",43.31999,-1.98,"Apartment","Entire home/apt",4,"2",3,"$55.00",31,350,96,30,NA,0
"46",664879,"spain","pv","euskadi","2020-04-30","Sopelana",43.38163,-2.98344,"Townhouse","Private room",4,"2",3,"$40.00",2,365,88,0,40,1200
"47",679760,"spain","pv","euskadi","2020-04-30","Amurrio",43.04973,-2.99259,"House","Entire home/apt",8,"2",5,"$100.00",2,30,97,29,100,100
"48",685612,"spain","pv","euskadi","2020-04-30","OyÃ³n",42.5066,-2.44456,"Townhouse","Entire home/apt",8,"4",8,"$115.00",2,30,95,30,NA,0
"49",702249,"spain","pv","euskadi","2020-04-30","Amurrio",42.97479,-3.01849,"Cottage","Entire home/apt",8,"4",7,"$150.00",2,30,93,23,173.571428571429,1215
"50",711105,"spain","pv","euskadi","2020-04-30","Arraia-Maeztu",42.74912,-2.44388,"House","Private room",5,"2",4,"$25.00",2,1125,97,30,NA,0
"51",714318,"spain","pv","euskadi","2020-04-30","Donostia-San SebastiÃ¡n",43.31326,-1.98132,"Apartment","Entire home/apt",4,"2",4,"$63.00",30,180,97,30,NA,0
"52",717367,"spain","pv","euskadi","2020-04-30","Donostia-San SebastiÃ¡n",43.32182,-1.98219,"Apartment","Entire home/apt",4,"2",3,"$160.00",3,365,100,14,167.8125,2685
"53",720913,"spain","pv","euskadi","2020-04-30","Ispaster",43.34859,-2.56768,"Cabin","Entire home/apt",4,"1",1,"$55.00",2,1125,97,26,72.5,290
"54",720916,"spain","pv","euskadi","2020-04-30","Lekeitio",43.36252,-2.50608,"Apartment","Entire home/apt",4,"2",5,"$55.00",2,1125,92,30,NA,0
"55",721139,"spain","pv","euskadi","2020-04-30","Pasaia",43.32356,-1.92965,"Apartment","Entire home/apt",6,"3",5,"$85.00",2,365,96,23,87.8571428571429,615
"56",740932,"spain","pv","euskadi","2020-04-30","Bilbao",43.26914,-2.9288,"Apartment","Private room",3,"1",3,"$38.00",2,60,96,30,NA,0
"57",748452,"spain","pv","euskadi","2020-04-30","Bermeo",43.40016,-2.75902,"Bed and breakfast","Entire home/apt",16,"5+",16,"$860.00",1,1125,NA,30,NA,0
"58",751799,"spain","pv","euskadi","2020-04-30","Donostia-San SebastiÃ¡n",43.32475,-1.97214,"Apartment","Entire home/apt",2,"1",1,"$200.00",2,1125,85,0,200,6000
"59",796513,"spain","pv","euskadi","2020-04-30","Donostia-San SebastiÃ¡n",43.31642,-1.95089,"Apartment","Entire home/apt",4,"3",4,"$100.00",30,250,90,0,90,2700
"60",798148,"spain","pv","euskadi","2020-04-30","Donostia-San SebastiÃ¡n",43.3259,-1.96892,"Apartment","Private room",2,"1",1,"$35.00",2,60,97,30,NA,0
"61",855267,"spain","pv","euskadi","2020-04-30","Bilbao",43.26261,-2.92747,"Apartment","Entire home/apt",3,"1",2,"$130.00",2,30,93,0,130,3900
"62",872681,"spain","pv","euskadi","2020-04-30","Bilbao",43.26785,-2.93253,"Apartment","Entire home/apt",4,"2",2,"$98.00",1,1125,94,5,100.24,2506
"63",897347,"spain","pv","euskadi","2020-04-30","Eskuernaga",42.54593,-2.66483,"House","Entire home/apt",8,"3",0,"$220.00",2,7,NA,30,NA,0
"64",903053,"spain","pv","euskadi","2020-04-30","Donostia-San SebastiÃ¡n",43.32112,-1.97396,"Apartment","Entire home/apt",3,"1",2,"$95.00",1,1125,95,28,150,300
"65",927629,"spain","pv","euskadi","2020-04-30","Bilbao",43.2601,-2.92978,"Guest suite","Private room",4,"1",3,"$107.00",2,120,91,25,81.4,407
"66",940996,"spain","pv","euskadi","2020-04-30","Donostia-San SebastiÃ¡n",43.31365,-1.985,"Apartment","Entire home/apt",4,"1",3,"$150.00",15,365,94,29,55,55
"67",950953,"spain","pv","euskadi","2020-04-30","Donostia-San SebastiÃ¡n",43.30588,-2.05616,"Apartment","Entire home/apt",3,"1",1,"$110.00",4,365,91,30,NA,0
"68",951796,"spain","pv","euskadi","2020-04-30","Bilbao",43.2646,-2.93464,"Apartment","Private room",2,"1",2,"$70.00",2,30,98,0,70,2100
"69",953145,"spain","pv","euskadi","2020-04-30","Donostia-San SebastiÃ¡n",43.30589,-2.05531,"Apartment","Entire home/apt",3,"1",1,"$110.00",4,365,96,30,NA,0
