"","id","country","region","city","date","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","review_scores_rating","availability_30","price_30","revenue_30"
"1",14551,"spain","catalonia","girona","2020-05-28","Girona",41.9965,2.83646,"Apartment","Private room",2,"1",1,"$46.00",1,1125,94,29,35,35
"2",35801,"spain","catalonia","girona","2020-05-28","Quart",41.95395,2.89703,"Bed and breakfast","Private room",5,"2",4,"$90.00",1,180,98,30,NA,0
"3",41342,"spain","catalonia","girona","2020-05-28","El Port de la Selva",42.34655,3.20463,"Apartment","Entire home/apt",4,"1",2,"$120.00",7,21,87,28,120,240
"4",45398,"spain","catalonia","girona","2020-05-28","Begur",41.95568,3.20892,"House","Entire home/apt",6,"3",4,"$80.00",1,730,94,29,100,100
"5",45400,"spain","catalonia","girona","2020-05-28","Begur",41.95577,3.21096,"Apartment","Entire home/apt",4,"1",2,"$65.00",1,730,94,30,NA,0
"6",48764,"spain","catalonia","girona","2020-05-28","Torroella de Fluvià",42.17605,3.03974,"House","Entire home/apt",8,"4",5,"$120.00",7,120,96,7,97.8260869565217,2250
"7",93343,"spain","catalonia","girona","2020-05-28","L'Escala",42.10405,3.14936,"House","Entire home/apt",7,"3",5,"$99.00",2,365,NA,28,157,314
"8",101580,"spain","catalonia","girona","2020-05-28","Lloret de Mar",41.70656,2.89015,"Villa","Entire home/apt",16,"4",12,"$890.00",5,30,97,27,850,2550
"9",106704,"spain","catalonia","girona","2020-05-28","Llagostera",41.83631,2.937,"Farm stay","Entire home/apt",12,"4",12,"$220.00",2,365,88,30,NA,0
"10",121666,"spain","catalonia","girona","2020-05-28","Torroella de Montgrí",42.00877,3.18954,"House","Entire home/apt",4,"2",4,"$67.00",15,30,88,11,89.2631578947368,1696
"11",121962,"spain","catalonia","girona","2020-05-28","Llagostera",41.84104,2.94811,"Farm stay","Entire home/apt",16,"5+",16,"$490.00",2,1125,96,25,490,2450
"12",122273,"spain","catalonia","girona","2020-05-28","Llagostera",41.84102,2.95118,"Farm stay","Entire home/apt",4,"1",4,"$110.00",2,1125,90,30,NA,0
"13",122371,"spain","catalonia","girona","2020-05-28","Pals",41.97454,3.17576,"House","Entire home/apt",6,"3",3,"$290.00",7,47,NA,21,240,2160
"14",130159,"spain","catalonia","girona","2020-05-28","Blanes",41.6657,2.78242,"Apartment","Entire home/apt",5,"2",3,"$92.00",6,28,98,24,92,552
"15",131374,"spain","catalonia","girona","2020-05-28","Riudarenes",41.82069,2.71764,"House","Entire home/apt",8,"4",5,"$188.00",2,30,90,28,190,380
"16",154339,"spain","catalonia","girona","2020-05-28","Lloret de Mar",41.7403,2.81844,"House","Entire home/apt",6,"3",3,"$95.00",3,730,100,0,95,2850
"17",157327,"spain","catalonia","girona","2020-05-28","Forallac",41.94531,3.11247,"Villa","Entire home/apt",8,"4",8,"$600.00",7,90,80,27,600,1800
"18",168832,"spain","catalonia","girona","2020-05-28","Saus",42.12516,2.93539,"House","Entire home/apt",9,"5+",9,"$65.00",5,31,96,0,65,1950
"19",179220,"spain","catalonia","girona","2020-05-28","Calonge",41.84794,3.10483,"Apartment","Entire home/apt",6,"3",6,"$74.00",3,365,89,27,83,249
"20",199994,"spain","catalonia","girona","2020-05-28","Cadaqués",42.28834,3.28159,"Apartment","Entire home/apt",4,"3",0,"$55.00",2,365,92,30,NA,0
