"","id","country","region","city","date","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","review_scores_rating","availability_30","price_30","revenue_30"
"1",56766,"france","auvergne-rhone-alpes","lyon","2020-07-25","5e Arrondissement",45.76321,4.82911,"Apartment","Entire home/apt",6,"3",4,"$210.00",14,720,94,23,215.714285714286,1510
"2",71455,"france","auvergne-rhone-alpes","lyon","2020-07-25","5e Arrondissement",45.76206,4.82751,"Apartment","Entire home/apt",4,"1",2,"$80.00",2,30,94,0,80,2400
"3",77104,"france","auvergne-rhone-alpes","lyon","2020-07-25","1er Arrondissement",45.76962,4.8275,"Apartment","Entire home/apt",4,"1",2,"$70.00",2,15,97,28,70,140
"4",134539,"france","auvergne-rhone-alpes","lyon","2020-07-25","5e Arrondissement",45.7593,4.82548,"Apartment","Entire home/apt",4,"2",2,"$52.00",2,30,95,20,60,600
"5",136556,"france","auvergne-rhone-alpes","lyon","2020-07-25","3e Arrondissement",45.76208,4.85327,"Apartment","Entire home/apt",5,"1",3,"$99.00",3,730,100,6,99,2376
"6",137132,"france","auvergne-rhone-alpes","lyon","2020-07-25","6e Arrondissement",45.76854,4.85312,"Condominium","Entire home/apt",4,"1",1,"$88.00",3,730,96,13,88,1496
"7",174304,"france","auvergne-rhone-alpes","lyon","2020-07-25","1er Arrondissement",45.76695,4.83241,"Apartment","Entire home/apt",6,"3",4,"$125.00",2,120,91,21,95.7777777777778,862
"8",233372,"france","auvergne-rhone-alpes","lyon","2020-07-25","5e Arrondissement",45.7583,4.82194,"Apartment","Entire home/apt",2,"1",1,"$70.00",2,365,93,29,53,53
"9",249711,"france","auvergne-rhone-alpes","lyon","2020-07-25","7e Arrondissement",45.75104,4.83795,"Apartment","Entire home/apt",6,"3",4,"$120.00",2,30,95,27,120,360
"10",251630,"france","auvergne-rhone-alpes","lyon","2020-07-25","1er Arrondissement",45.77019,4.835,"Apartment","Entire home/apt",2,"0",2,"$35.00",13,180,100,29,35,35
"11",298089,"france","auvergne-rhone-alpes","lyon","2020-07-25","3e Arrondissement",45.75775,4.87644,"Apartment","Private room",3,"1",2,"$24.00",1,5,94,0,23.1333333333333,694
"12",329950,"france","auvergne-rhone-alpes","lyon","2020-07-25","3e Arrondissement",45.74817,4.87162,"Apartment","Private room",6,"3",4,"$65.00",2,16,94,0,72,2160
"13",342674,"france","auvergne-rhone-alpes","lyon","2020-07-25","3e Arrondissement",45.75383,4.84758,"Apartment","Entire home/apt",8,"3",5,"$155.00",1,1125,97,17,155,2015
"14",349150,"france","auvergne-rhone-alpes","lyon","2020-07-25","5e Arrondissement",45.76419,4.82794,"Apartment","Entire home/apt",4,"1",3,"$79.00",2,1125,96,0,79,2370
"15",365998,"france","auvergne-rhone-alpes","lyon","2020-07-25","1er Arrondissement",45.76846,4.82951,"Apartment","Entire home/apt",2,"1",1,"$65.00",3,15,97,0,66,1980
"16",369303,"france","auvergne-rhone-alpes","lyon","2020-07-25","6e Arrondissement",45.76407,4.86958,"Apartment","Entire home/apt",2,"1",1,"$50.00",2,15,97,0,50,1500
"17",387453,"france","auvergne-rhone-alpes","lyon","2020-07-25","1er Arrondissement",45.76872,4.83024,"Apartment","Entire home/apt",5,"3",4,"$160.00",3,13,91,15,90,1350
"18",403747,"france","auvergne-rhone-alpes","lyon","2020-07-25","2e Arrondissement",45.75865,4.83353,"Apartment","Private room",2,"1",2,"$39.00",1,31,92,6,40.75,978
"19",416475,"france","auvergne-rhone-alpes","lyon","2020-07-25","1er Arrondissement",45.77063,4.83459,"Apartment","Entire home/apt",4,"2",2,"$55.00",2,1125,NA,0,55,1650
"20",452349,"france","auvergne-rhone-alpes","lyon","2020-07-25","3e Arrondissement",45.75398,4.87246,"Apartment","Private room",2,"1",1,"$60.00",1,1125,93,27,60,180
