"","id","country","region","city","date","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","review_scores_rating","availability_30","price_30","revenue_30"
"1",6369,"spain","comunidad-de-madrid","madrid","2020-08-25","Hispanoamérica",40.45724,-3.67688,"Private room in apartment","Private room",2,"1",1,"$46.00",1,1125,98,30,NA,0
"2",21853,"spain","comunidad-de-madrid","madrid","2020-08-25","Cármenes",40.40341,-3.74084,"Private room in apartment","Private room",1,"1",1,"$31.00",4,40,92,29,30,30
"3",23001,"spain","comunidad-de-madrid","madrid","2020-08-25","Legazpi",40.38695,-3.69304,"Entire apartment","Entire home/apt",6,"3",5,"$60.00",15,730,NA,0,60,1800
"4",24805,"spain","comunidad-de-madrid","madrid","2020-08-25","Universidad",40.42202,-3.70395,"Entire apartment","Entire home/apt",3,NA,1,"$92.00",4,730,98,27,92.6666666666667,278
"5",24836,"spain","comunidad-de-madrid","madrid","2020-08-25","Justicia",40.41995,-3.69764,"Entire apartment","Entire home/apt",4,"2",3,"$115.00",3,10,98,0,115,3450
"6",26825,"spain","comunidad-de-madrid","madrid","2020-08-25","Legazpi",40.38985,-3.69011,"Private room in house","Private room",1,"1",1,"$26.00",2,1125,94,23,26.1428571428571,183
"7",30320,"spain","comunidad-de-madrid","madrid","2020-08-25","Sol",40.41552,-3.70346,"Entire apartment","Entire home/apt",2,"1",2,"$65.00",5,180,93,30,NA,0
"8",30478,"spain","comunidad-de-madrid","madrid","2020-08-25","Embajadores",40.40926,-3.70505,"Private room in apartment","Private room",1,"1",1,"$18.00",1,1124,100,29,18,18
"9",30959,"spain","comunidad-de-madrid","madrid","2020-08-25","Embajadores",40.41111,-3.70269,"Entire loft","Entire home/apt",2,"1",1,"$54.00",3,730,88,0,54,1620
"10",37859,"spain","comunidad-de-madrid","madrid","2020-08-25","Palacio",40.4198,-3.71078,"Entire apartment","Entire home/apt",5,"2",3,"$140.00",3,730,NA,30,NA,0
"11",40718,"spain","comunidad-de-madrid","madrid","2020-08-25","Justicia",40.41978,-3.6973,"Entire apartment","Entire home/apt",4,"1",2,"$64.00",3,500,93,5,70.68,1767
"12",40916,"spain","comunidad-de-madrid","madrid","2020-08-25","Universidad",40.42096,-3.70428,"Entire apartment","Entire home/apt",3,"1",3,"$90.00",5,180,93,30,NA,0
"13",59923,"spain","comunidad-de-madrid","madrid","2020-08-25","Palacio",40.41971,-3.71256,"Private room in guest suite","Private room",1,"1",1,"$40.00",1,30,99,30,NA,0
"14",62423,"spain","comunidad-de-madrid","madrid","2020-08-25","Justicia",40.4208,-3.69878,"Private room in apartment","Private room",3,"1",2,"$26.00",1,90,91,30,NA,0
"15",64131,"spain","comunidad-de-madrid","madrid","2020-08-25","Peñagrande",40.48409,-3.72257,"Private room in apartment","Private room",2,"1",2,"$21.00",2,1125,94,29,22,22
"16",70059,"spain","comunidad-de-madrid","madrid","2020-08-25","Universidad",40.42365,-3.70889,"Entire apartment","Entire home/apt",2,"1",1,"$42.00",5,365,97,29,39,39
"17",70310,"spain","comunidad-de-madrid","madrid","2020-08-25","Universidad",40.42252,-3.7025,"Entire apartment","Entire home/apt",4,"1",3,"$66.00",28,360,83,28,65,130
"18",70315,"spain","comunidad-de-madrid","madrid","2020-08-25","Palacio",40.42193,-3.71036,"Entire apartment","Entire home/apt",4,"2",3,"$80.00",28,180,80,28,78,156
"19",70316,"spain","comunidad-de-madrid","madrid","2020-08-25","Palacio",40.42191,-3.71038,"Entire apartment","Entire home/apt",3,"2",2,"$75.00",28,360,80,28,75,150
"20",72150,"spain","comunidad-de-madrid","madrid","2020-08-25","Embajadores",40.4115,-3.70449,"Entire apartment","Entire home/apt",9,"3",6,"$69.00",2,365,91,29,60,60
"21",72955,"spain","comunidad-de-madrid","madrid","2020-08-25","Cortes",40.41139,-3.69408,"Entire apartment","Entire home/apt",4,"1",1,"$97.00",3,730,87,30,NA,0
"22",74352,"spain","comunidad-de-madrid","madrid","2020-08-25","Embajadores",40.41075,-3.70759,"Entire apartment","Entire home/apt",4,"1",2,"$80.00",8,1125,92,28,80,160
"23",75609,"spain","comunidad-de-madrid","madrid","2020-08-25","Embajadores",40.40743,-3.69719,"Entire apartment","Entire home/apt",3,"1",2,"$64.00",3,365,95,1,63.8620689655172,1852
"24",82481,"spain","comunidad-de-madrid","madrid","2020-08-25","Recoletos",40.42315,-3.68279,"Entire apartment","Entire home/apt",2,"1",1,"$63.00",3,365,96,0,62.6666666666667,1880
"25",84719,"spain","comunidad-de-madrid","madrid","2020-08-25","Embajadores",40.40865,-3.70534,"Entire apartment","Entire home/apt",2,"1",1,"$59.00",1,1125,93,29,50,50
"26",86042,"spain","comunidad-de-madrid","madrid","2020-08-25","Embajadores",40.40939,-3.69812,"Entire apartment","Entire home/apt",5,"3",3,"$64.00",2,365,96,30,NA,0
"27",89954,"spain","comunidad-de-madrid","madrid","2020-08-25","Palacio",40.41218,-3.71369,"Entire loft","Entire home/apt",6,"2",3,"$114.00",2,30,96,24,114.666666666667,688
"28",92920,"spain","comunidad-de-madrid","madrid","2020-08-25","Justicia",40.42422,-3.69538,"Private room in apartment","Private room",2,"1",1,"$55.00",2,365,99,28,55,110
"29",93100,"spain","comunidad-de-madrid","madrid","2020-08-25","Universidad",40.42378,-3.70248,"Private room in apartment","Private room",3,"1",2,"$24.00",1,1125,89,30,NA,0
"30",96072,"spain","comunidad-de-madrid","madrid","2020-08-25","Cuatro Caminos",40.45559,-3.69421,"Private room in apartment","Private room",2,"1",1,"$25.00",3,365,88,29,25,25
"31",96807,"spain","comunidad-de-madrid","madrid","2020-08-25","Palomeras Bajas",40.38318,-3.65565,"Private room in apartment","Private room",2,"1",2,"$31.00",4,365,91,30,NA,0
"32",100411,"spain","comunidad-de-madrid","madrid","2020-08-25","Valverde",40.50116,-3.67119,"Entire apartment","Entire home/apt",2,"1",1,"$60.00",2,30,93,0,60,1800
"33",101507,"spain","comunidad-de-madrid","madrid","2020-08-25","Embajadores",40.40786,-3.70223,"Entire apartment","Entire home/apt",2,NA,1,"$50.00",30,180,95,0,50,1500
"34",102040,"spain","comunidad-de-madrid","madrid","2020-08-25","Pueblo Nuevo",40.43331,-3.64355,"Private room in apartment","Private room",1,"1",1,"$19.00",3,90,NA,29,17,17
"35",102091,"spain","comunidad-de-madrid","madrid","2020-08-25","Trafalgar",40.43158,-3.70071,"Entire serviced apartment","Entire home/apt",6,"2",3,"$86.00",30,45,86,30,NA,0
"36",102194,"spain","comunidad-de-madrid","madrid","2020-08-25","Justicia",40.42153,-3.69923,"Entire apartment","Entire home/apt",4,"2",2,"$96.00",2,730,94,30,NA,0
"37",103522,"spain","comunidad-de-madrid","madrid","2020-08-25","Embajadores",40.41158,-3.70607,"Entire apartment","Entire home/apt",2,NA,2,"$72.00",4,1125,93,30,NA,0
"38",103541,"spain","comunidad-de-madrid","madrid","2020-08-25","Almagro",40.43761,-3.69802,"Entire apartment","Entire home/apt",4,"2",3,"$75.00",2,90,91,5,75,1875
"39",114854,"spain","comunidad-de-madrid","madrid","2020-08-25","Rios Rosas",40.43825,-3.69388,"Entire apartment","Entire home/apt",4,"1",2,"$75.00",2,365,91,13,75,1275
"40",119389,"spain","comunidad-de-madrid","madrid","2020-08-25","Palacio",40.40958,-3.71042,"Entire apartment","Entire home/apt",4,"2",1,"$102.00",3,365,93,21,103.666666666667,933
"41",120293,"spain","comunidad-de-madrid","madrid","2020-08-25","Palacio",40.41143,-3.70912,"Private room in apartment","Private room",2,"1",2,"$23.00",1,365,95,30,NA,0
"42",120762,"spain","comunidad-de-madrid","madrid","2020-08-25","Universidad",40.42381,-3.70571,"Private room in apartment","Private room",2,"1",1,"$21.00",1,1125,91,25,20,100
"43",123864,"spain","comunidad-de-madrid","madrid","2020-08-25","Embajadores",40.41001,-3.70704,"Entire apartment","Entire home/apt",3,NA,2,"$50.00",1,365,93,30,NA,0
"44",127819,"spain","comunidad-de-madrid","madrid","2020-08-25","Cortes",40.41466,-3.70162,"Entire apartment","Entire home/apt",8,"2",4,"$106.00",4,700,92,30,NA,0
"45",130474,"spain","comunidad-de-madrid","madrid","2020-08-25","Prosperidad",40.43956,-3.67312,"Private room in chalet","Private room",2,"1",1,"$25.00",2,730,NA,30,NA,0
"46",132428,"spain","comunidad-de-madrid","madrid","2020-08-25","Embajadores",40.41034,-3.69836,"Private room in apartment","Private room",1,"1",1,"$30.00",3,730,98,23,30,210
