"","id","country","region","city","date","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","review_scores_rating","availability_30","price_30","revenue_30"
"1",96033,"spain","andaluc%C3%ADa","malaga","2020-06-30","Este",36.72031,-4.35627,"Apartment","Entire home/apt",3,"2",2,"$49.00",3,1125,89,3,43,1161
"2",131725,"spain","andaluc%C3%ADa","malaga","2020-06-30","Carretera de Cadiz",36.70658,-4.43705,"Apartment","Entire home/apt",3,"2",3,"$37.00",4,180,93,0,49.9,1497
"3",155696,"spain","andaluc%C3%ADa","malaga","2020-06-30","Centro",36.72723,-4.4072,"Condominium","Entire home/apt",5,"3",5,"$180.00",3,365,91,22,180,1440
"4",159650,"spain","andaluc%C3%ADa","malaga","2020-06-30","Ciudad Jardin",36.74604,-4.41747,"Apartment","Entire home/apt",6,"3",6,"$60.00",7,30,92,14,60,960
"5",166473,"spain","andaluc%C3%ADa","malaga","2020-06-30","Este",36.71934,-4.35942,"Apartment","Private room",3,"1",0,"$19.00",5,365,94,0,19,570
"6",212845,"spain","andaluc%C3%ADa","malaga","2020-06-30","Este",36.72606,-4.36541,"Apartment","Shared room",2,"1",2,"$35.00",2,90,95,20,39.5,395
"7",229511,"spain","andaluc%C3%ADa","malaga","2020-06-30","Este",36.79087,-4.38198,"House","Entire home/apt",12,"4",10,"$200.00",5,365,100,21,200,1800
"8",340024,"spain","andaluc%C3%ADa","malaga","2020-06-30","Centro",36.72813,-4.41422,"Apartment","Entire home/apt",2,"1",2,"$47.00",3,90,96,16,55,770
"9",358541,"spain","andaluc%C3%ADa","malaga","2020-06-30","Centro",36.72338,-4.42208,"Apartment","Entire home/apt",2,"1",1,"$44.00",2,366,94,11,47.1052631578947,895
"10",412798,"spain","andaluc%C3%ADa","malaga","2020-06-30","Teatinos-Universidad",36.72369,-4.46125,"Apartment","Entire home/apt",7,"4",0,"$115.00",5,1124,95,13,82,1394
"11",421077,"spain","andaluc%C3%ADa","malaga","2020-06-30","Centro",36.72117,-4.42526,"Apartment","Entire home/apt",2,"1",1,"$48.00",1,1125,89,30,NA,0
"12",422922,"spain","andaluc%C3%ADa","malaga","2020-06-30","Centro",36.72283,-4.42571,"Apartment","Entire home/apt",4,"2",2,"$40.00",1,365,95,24,58.6666666666667,352
"13",427860,"spain","andaluc%C3%ADa","malaga","2020-06-30","Centro",36.73232,-4.4153,"House","Private room",4,"2",4,"$120.00",2,1125,84,29,120,120
"14",461508,"spain","andaluc%C3%ADa","malaga","2020-06-30","Centro",36.72292,-4.42331,"Apartment","Entire home/apt",4,"1",3,"$55.00",2,1125,84,30,NA,0
"15",505688,"spain","andaluc%C3%ADa","malaga","2020-06-30","Centro",36.72526,-4.41821,"Loft","Entire home/apt",4,"2",2,"$65.00",3,1125,94,30,NA,0
"16",507961,"spain","andaluc%C3%ADa","malaga","2020-06-30","Centro",36.72433,-4.41834,"Loft","Entire home/apt",2,"1",1,"$60.00",3,1125,96,30,NA,0
"17",508787,"spain","andaluc%C3%ADa","malaga","2020-06-30","Centro",36.7248,-4.41913,"Loft","Entire home/apt",2,"1",1,"$50.00",3,1125,93,30,NA,0
"18",509073,"spain","andaluc%C3%ADa","malaga","2020-06-30","Centro",36.7248,-4.41913,"Loft","Entire home/apt",2,"1",1,"$50.00",3,1125,93,30,NA,0
"19",550804,"spain","andaluc%C3%ADa","malaga","2020-06-30","Centro",36.71643,-4.41103,"Apartment","Entire home/apt",2,"0",0,"$300.00",5,1125,83,20,300,3000
"20",551603,"spain","andaluc%C3%ADa","malaga","2020-06-30","Carretera de Cadiz",36.69488,-4.44054,"Apartment","Entire home/apt",9,"4",6,"$140.00",4,90,98,22,228.75,1830
"21",577612,"spain","andaluc%C3%ADa","malaga","2020-06-30","Centro",36.72146,-4.42335,"Loft","Entire home/apt",6,"3",3,"$150.00",1,1124,94,24,147.5,885
"22",592667,"spain","andaluc%C3%ADa","malaga","2020-06-30","Bailen-Miraflores",36.72205,-4.4409,"Apartment","Entire home/apt",6,"4",4,"$85.00",150,365,NA,0,85,2550
"23",603361,"spain","andaluc%C3%ADa","malaga","2020-06-30","Centro",36.72851,-4.41452,"Apartment","Private room",2,"1",2,"$38.00",2,27,96,0,49.8,1494
"24",611037,"spain","andaluc%C3%ADa","malaga","2020-06-30","Centro",36.7298,-4.42092,"Apartment","Entire home/apt",2,"1",1,"$75.00",2,1125,94,15,79,1185
"25",633862,"spain","andaluc%C3%ADa","malaga","2020-06-30","Bailen-Miraflores",36.72973,-4.43524,"Apartment","Entire home/apt",2,"1",0,"$45.00",2,1125,80,10,59.2,1184
"26",634046,"spain","andaluc%C3%ADa","malaga","2020-06-30","Este",36.7178,-4.34829,"Condominium","Entire home/apt",5,"3",4,"$70.00",3,1125,93,17,79.2307692307692,1030
"27",652994,"spain","andaluc%C3%ADa","malaga","2020-06-30","Centro",36.72682,-4.41916,"Apartment","Entire home/apt",2,"1",2,"$52.00",3,1125,94,11,56.3157894736842,1070
"28",655701,"spain","andaluc%C3%ADa","malaga","2020-06-30","Churriana",36.64943,-4.47706,"Apartment","Entire home/apt",6,"2",6,"$90.00",1,1125,90,2,91.8928571428571,2573
"29",663794,"spain","andaluc%C3%ADa","malaga","2020-06-30","Centro",36.73097,-4.4235,"Apartment","Entire home/apt",5,"3",5,"$45.00",2,45,86,7,46.7391304347826,1075
"30",711328,"spain","andaluc%C3%ADa","malaga","2020-06-30","Centro",36.72054,-4.42152,"Apartment","Entire home/apt",3,"1",2,"$66.00",2,1125,83,0,98.5,2955
"31",718943,"spain","andaluc%C3%ADa","malaga","2020-06-30","Este",36.71735,-4.34732,"Apartment","Entire home/apt",6,"3",5,"$150.00",3,1125,87,0,150,4500
"32",730157,"spain","andaluc%C3%ADa","malaga","2020-06-30","Centro",36.72834,-4.41483,"Apartment","Entire home/apt",4,"2",3,"$60.00",2,1125,93,28,60,120
"33",730403,"spain","andaluc%C3%ADa","malaga","2020-06-30","Carretera de Cadiz",36.6933,-4.44923,"Apartment","Private room",4,"1",1,"$30.00",6,1125,40,22,30,240
"34",730431,"spain","andaluc%C3%ADa","malaga","2020-06-30","Carretera de Cadiz",36.69292,-4.44984,"Apartment","Private room",3,"3",3,"$30.00",3,1125,89,23,30,210
"35",735155,"spain","andaluc%C3%ADa","malaga","2020-06-30","Cruz De Humilladero",36.722,-4.45063,"Apartment","Entire home/apt",2,"1",1,"$50.00",3,1125,NA,29,70,70
"36",735157,"spain","andaluc%C3%ADa","malaga","2020-06-30","Cruz De Humilladero",36.72089,-4.45057,"Apartment","Entire home/apt",2,"1",2,"$50.00",3,1125,77,29,75,75
"37",744037,"spain","andaluc%C3%ADa","malaga","2020-06-30","Centro",36.71739,-4.41272,"Apartment","Entire home/apt",4,"2",3,"$50.00",3,60,94,30,NA,0
"38",746003,"spain","andaluc%C3%ADa","malaga","2020-06-30","Este",36.71801,-4.35463,"Apartment","Entire home/apt",4,"1",3,"$75.00",2,365,100,15,118.666666666667,1780
"39",750408,"spain","andaluc%C3%ADa","malaga","2020-06-30","Centro",36.72256,-4.41622,"Apartment","Entire home/apt",4,"2",3,"$110.00",3,1125,92,11,85,1615
"40",753119,"spain","andaluc%C3%ADa","malaga","2020-06-30","Este",36.71801,-4.35463,"Apartment","Entire home/apt",5,"2",3,"$80.00",2,365,96,20,125,1250
"41",753252,"spain","andaluc%C3%ADa","malaga","2020-06-30","Este",36.71801,-4.35463,"Apartment","Entire home/apt",4,"2",3,"$80.00",2,365,99,0,134.666666666667,4040
"42",783360,"spain","andaluc%C3%ADa","malaga","2020-06-30","Centro",36.72366,-4.41938,"Apartment","Entire home/apt",9,"4",7,"$100.00",2,30,94,30,NA,0
"43",786626,"spain","andaluc%C3%ADa","malaga","2020-06-30","Centro",36.72368,-4.42923,"Apartment","Entire home/apt",2,"0",1,"$54.00",7,1125,80,29,54,54
"44",786648,"spain","andaluc%C3%ADa","malaga","2020-06-30","Centro",36.72377,-4.42735,"Serviced apartment","Entire home/apt",4,"1",2,"$70.00",3,1123,NA,30,NA,0
"45",786663,"spain","andaluc%C3%ADa","malaga","2020-06-30","Centro",36.72361,-4.42842,"Apartment","Entire home/apt",6,"1",4,"$90.00",6,1125,70,26,90,360
"46",787704,"spain","andaluc%C3%ADa","malaga","2020-06-30","Cruz De Humilladero",36.72093,-4.44481,"Apartment","Private room",2,"1",2,"$16.00",5,1125,98,0,16,480
"47",790986,"spain","andaluc%C3%ADa","malaga","2020-06-30","Centro",36.72482,-4.41791,"Apartment","Entire home/apt",4,"2",3,"$85.00",3,1125,95,30,NA,0
"48",844426,"spain","andaluc%C3%ADa","malaga","2020-06-30","Centro",36.72471,-4.42347,"Apartment","Entire home/apt",6,"2",4,"$200.00",3,20,81,29,200,200
"49",892057,"spain","andaluc%C3%ADa","malaga","2020-06-30","Centro",36.72141,-4.42425,"Apartment","Entire home/apt",3,"1",1,"$49.00",1,1000,88,0,81.3333333333333,2440
