"","id","country","region","city","date","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","review_scores_rating","availability_30","price_30","revenue_30"
"1",11547,"spain","islas-baleares","mallorca","2020-06-25","Calvià",39.51888,2.48182,"Apartment","Entire home/apt",2,"1",1,"$86.00",6,60,96,3,84.1851851851852,2273
"2",69998,"spain","islas-baleares","mallorca","2020-06-25","Palma de Mallorca",39.57337,2.65268,"Loft","Entire home/apt",2,"1",1,"$100.00",3,31,98,0,148.333333333333,4450
"3",100831,"spain","islas-baleares","mallorca","2020-06-25","Santa Margalida",39.76347,3.16255,"House","Entire home/apt",8,"4",7,"$155.00",7,365,100,30,NA,0
"4",105891,"spain","islas-baleares","mallorca","2020-06-25","Maria de la Salut",39.66044,3.07165,"Townhouse","Entire home/apt",6,"3",4,"$110.00",5,365,97,5,156,3900
"5",106833,"spain","islas-baleares","mallorca","2020-06-25","Sant Llorenç des Cardassar",39.616,3.30121,"Villa","Entire home/apt",4,"2",4,"$200.00",5,365,98,0,200,6000
"6",130669,"spain","islas-baleares","mallorca","2020-06-25","Palma de Mallorca",39.56478,2.60333,"Apartment","Private room",2,"1",2,"$110.00",2,365,NA,30,NA,0
"7",133709,"spain","islas-baleares","mallorca","2020-06-25","Palma de Mallorca",39.5633,2.62496,"Guesthouse","Entire home/apt",2,"0",0,"$75.00",1,1125,98,0,73.3333333333333,2200
"8",159218,"spain","islas-baleares","mallorca","2020-06-25","Selva",39.73689,2.89745,"Villa","Entire home/apt",3,"1",3,"$100.00",7,365,99,19,135,1485
"9",160482,"spain","islas-baleares","mallorca","2020-06-25","Esporles",39.65414,2.62546,"House","Entire home/apt",6,"3",4,"$210.00",4,180,97,11,264.473684210526,5025
"10",164185,"spain","islas-baleares","mallorca","2020-06-25","Palma de Mallorca",39.57302,2.64355,"Guest suite","Private room",2,"1",1,"$65.00",4,365,94,30,NA,0
"11",164364,"spain","islas-baleares","mallorca","2020-06-25","Palma de Mallorca",39.55152,2.62398,"Apartment","Private room",1,"1",1,"$22.00",7,365,95,16,22,308
"12",166820,"spain","islas-baleares","mallorca","2020-06-25","Banyalbufar",39.67932,2.50136,"Villa","Private room",2,"1",1,"$35.00",3,365,94,29,58,58
"13",168668,"spain","islas-baleares","mallorca","2020-06-25","Manacor",39.66633,3.21769,"House","Entire home/apt",4,"2",0,"$150.00",7,28,96,14,150,2400
"14",168697,"spain","islas-baleares","mallorca","2020-06-25","Sa Pobla",39.77096,3.02845,"Loft","Entire home/apt",2,"1",1,"$60.00",2,730,90,30,NA,0
"15",178456,"spain","islas-baleares","mallorca","2020-06-25","Alcúdia",39.82169,3.11569,"Apartment","Entire home/apt",4,"2",2,"$90.00",3,325,88,20,105,1050
"16",193426,"spain","islas-baleares","mallorca","2020-06-25","Pollença",39.8973,3.07411,"Apartment","Entire home/apt",6,"3",5,"$100.00",2,1125,98,30,NA,0
"17",210156,"spain","islas-baleares","mallorca","2020-06-25","Alcúdia",39.83375,3.10918,"House","Entire home/apt",6,"3",4,"$58.00",5,365,97,9,99.5714285714286,2091
"18",232310,"spain","islas-baleares","mallorca","2020-06-25","Artà",39.69117,3.35112,"Apartment","Entire home/apt",4,"2",3,"$74.00",4,30,88,27,89,267
"19",233901,"spain","islas-baleares","mallorca","2020-06-25","Santanyí",39.30197,3.07504,"Cottage","Entire home/apt",6,"3",4,"$130.00",3,365,96,1,167.241379310345,4850
"20",238799,"spain","islas-baleares","mallorca","2020-06-25","Palma de Mallorca",39.56645,2.66102,"Apartment","Entire home/apt",2,"1",1,"$185.00",3,365,90,29,185,185
"21",242962,"spain","islas-baleares","mallorca","2020-06-25","Palma de Mallorca",39.56487,2.62569,"Apartment","Entire home/apt",4,"2",3,"$80.00",30,365,91,30,NA,0
"22",252425,"spain","islas-baleares","mallorca","2020-06-25","Alcúdia",39.85299,3.1142,"Apartment","Private room",2,"1",1,"$40.00",3,1125,94,25,40,200
