"","id","country","region","city","date","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","review_scores_rating","availability_30","price_30","revenue_30"
"1",44085,"spain","islas-baleares","menorca","2020-05-31","Es Mercadal",40.00946,4.20026,"Villa","Entire home/apt",6,"3",5,"$99.00",5,550,94,30,NA,0
"2",102558,"spain","islas-baleares","menorca","2020-05-31","Ciutadella de Menorca",39.94273,3.96278,"Apartment","Entire home/apt",5,"2",5,"$50.00",7,30,91,17,90,1170
"3",148138,"spain","islas-baleares","menorca","2020-05-31","Ciutadella de Menorca",40.00222,3.79919,"Apartment","Entire home/apt",6,"2",3,"$49.00",1,365,75,27,200,600
"4",245722,"spain","islas-baleares","menorca","2020-05-31","Alaior",39.89677,4.14912,"Villa","Private room",8,"3",5,"$200.00",3,365,95,27,200,600
"5",285865,"spain","islas-baleares","menorca","2020-05-31","Ciutadella de Menorca",40.00088,3.79955,"Apartment","Entire home/apt",4,"1",1,"$69.00",4,1125,83,20,64.2,642
"6",294398,"spain","islas-baleares","menorca","2020-05-31","Alaior",39.89089,4.11607,"House","Entire home/apt",11,"5+",9,"$450.00",3,365,91,30,NA,0
"7",295705,"spain","islas-baleares","menorca","2020-05-31","Alaior",39.89183,4.11577,"Cottage","Entire home/apt",16,"5+",0,"$1,250.00",2,360,97,27,1572.33333333333,4717
"8",325641,"spain","islas-baleares","menorca","2020-05-31","Mahón",39.8363,4.19367,"House","Entire home/apt",6,"3",6,"$189.00",3,30,91,29,198,198
"9",334376,"spain","islas-baleares","menorca","2020-05-31","Ciutadella de Menorca",40.00506,3.83711,"House","Entire home/apt",4,"3",3,"$70.00",3,1125,93,0,84.1666666666667,2525
"10",357026,"spain","islas-baleares","menorca","2020-05-31","Alaior",39.90397,4.07033,"Apartment","Entire home/apt",4,"2",4,"$75.00",5,1125,100,27,95,285
"11",358378,"spain","islas-baleares","menorca","2020-05-31","Alaior",39.90178,4.07674,"Apartment","Entire home/apt",5,"2",3,"$40.00",5,60,96,28,44.5,89
"12",366358,"spain","islas-baleares","menorca","2020-05-31","Ciutadella de Menorca",40.03523,3.96514,"House","Entire home/apt",14,"5+",7,"$495.00",3,1125,99,30,NA,0
"13",366636,"spain","islas-baleares","menorca","2020-05-31","Alaior",39.90258,4.07567,"Apartment","Entire home/apt",4,"2",4,"$100.00",5,365,93,23,100,700
"14",370676,"spain","islas-baleares","menorca","2020-05-31","Ciutadella de Menorca",40.00286,3.8374,"Townhouse","Entire home/apt",8,"4",5,"$400.00",2,1125,100,14,443.75,7100
"15",372756,"spain","islas-baleares","menorca","2020-05-31","Alaior",39.87428,4.13118,"House","Entire home/apt",6,"3",4,"$500.00",10,365,93,30,NA,0
"16",382144,"spain","islas-baleares","menorca","2020-05-31","Ciutadella de Menorca",40.02229,3.94258,"Cabin","Entire home/apt",2,"1",1,"$60.00",3,1125,97,22,110,880
"17",386067,"spain","islas-baleares","menorca","2020-05-31","Alaior",39.90435,4.07296,"Condominium","Entire home/apt",5,"3",5,"$70.00",7,1125,91,23,87.1428571428571,610
"18",394135,"spain","islas-baleares","menorca","2020-05-31","Ciutadella de Menorca",40.01474,3.84365,"Cottage","Entire home/apt",4,"2",3,"$160.00",7,30,97,26,250,1000
"19",403664,"spain","islas-baleares","menorca","2020-05-31","Ciutadella de Menorca",39.99328,3.8312,"House","Entire home/apt",4,"2",0,"$142.00",3,1125,96,30,NA,0
"20",421030,"spain","islas-baleares","menorca","2020-05-31","Ciutadella de Menorca",40.00662,3.84296,"Loft","Entire home/apt",2,"1",1,"$25.00",3,1125,87,29,63,63
"21",459265,"spain","islas-baleares","menorca","2020-05-31","Es Mercadal",40.01391,4.19865,"House","Entire home/apt",6,"3",5,"$99.00",5,300,98,30,NA,0
"22",476724,"spain","islas-baleares","menorca","2020-05-31","Ciutadella de Menorca",39.9433,3.96275,"Apartment","Entire home/apt",4,"2",4,"$45.00",5,180,93,29,110,110
"23",494480,"spain","islas-baleares","menorca","2020-05-31","Ciutadella de Menorca",39.99955,3.79833,"Apartment","Entire home/apt",4,"1",1,"$55.00",1,365,95,20,55,550
"24",516153,"spain","islas-baleares","menorca","2020-05-31","Mahón",39.89091,4.29592,"House","Entire home/apt",6,"3",6,"$198.00",15,365,NA,0,198,5940
"25",517301,"spain","islas-baleares","menorca","2020-05-31","Mahón",39.93416,4.24318,"Cottage","Entire home/apt",4,"2",3,"$160.00",2,60,98,22,176.25,1410
"26",527985,"spain","islas-baleares","menorca","2020-05-31","Ciutadella de Menorca",39.9689,3.83591,"House","Entire home/apt",8,"4",6,"$120.00",5,60,90,25,180,900
"27",549304,"spain","islas-baleares","menorca","2020-05-31","Ciutadella de Menorca",40.00272,3.8382,"House","Entire home/apt",8,"5+",11,"$101.00",5,30,97,30,NA,0
"28",580840,"spain","islas-baleares","menorca","2020-05-31","Ciutadella de Menorca",40.00094,3.83733,"House","Entire home/apt",4,"2",3,"$70.00",5,30,95,26,150,600
"29",589898,"spain","islas-baleares","menorca","2020-05-31","Ciutadella de Menorca",39.99182,3.83059,"House","Entire home/apt",12,"5+",9,"$130.00",7,1125,98,15,148.666666666667,2230
"30",596553,"spain","islas-baleares","menorca","2020-05-31","Es Mercadal",39.97333,4.15161,"House","Entire home/apt",2,"1",1,"$120.00",7,90,97,30,NA,0
"31",608987,"spain","islas-baleares","menorca","2020-05-31","Sant Lluís",39.8536,4.25934,"House","Private room",4,"2",2,"$30.00",2,60,88,30,NA,0
"32",636272,"spain","islas-baleares","menorca","2020-05-31","Ciutadella de Menorca",39.92839,3.83645,"Apartment","Entire home/apt",6,"2",3,"$100.00",5,1125,87,27,100,300
"33",682506,"spain","islas-baleares","menorca","2020-05-31","Ciutadella de Menorca",39.96769,3.83153,"Apartment","Entire home/apt",3,"2",3,"$65.00",3,100,89,29,65,65
"34",725695,"spain","islas-baleares","menorca","2020-05-31","Alaior",39.93534,4.13891,"Cottage","Entire home/apt",13,"5+",15,"$220.00",2,1125,93,30,NA,0
"35",854050,"spain","islas-baleares","menorca","2020-05-31","Ciutadella de Menorca",40.00309,3.80649,"Chalet","Entire home/apt",10,"4",8,"$450.00",7,30,96,30,NA,0
"36",854051,"spain","islas-baleares","menorca","2020-05-31","Ciutadella de Menorca",40.0025,3.80652,"Chalet","Entire home/apt",10,"4",8,"$450.00",7,30,100,30,NA,0
"37",864172,"spain","islas-baleares","menorca","2020-05-31","Es Mercadal",40.05232,4.10984,"Apartment","Entire home/apt",4,"1",2,"$110.00",15,365,94,27,110,330
"38",877147,"spain","islas-baleares","menorca","2020-05-31","Ciutadella de Menorca",40.00094,3.83381,"Loft","Entire home/apt",4,"1",2,"$99.00",5,60,81,6,117.75,2826
"39",877183,"spain","islas-baleares","menorca","2020-05-31","Ciutadella de Menorca",39.99795,3.84043,"Loft","Entire home/apt",2,"0",1,"$66.00",5,1125,83,30,NA,0
"40",920389,"spain","islas-baleares","menorca","2020-05-31","Sant Lluís",39.83959,4.26124,"Cottage","Entire home/apt",10,"5+",9,"$270.00",3,90,100,28,360,720
"41",932244,"spain","islas-baleares","menorca","2020-05-31","Es Mercadal",40.00442,4.19521,"House","Private room",2,"1",1,"$57.00",5,12,99,0,70,2100
"42",932315,"spain","islas-baleares","menorca","2020-05-31","Es Mercadal",40.00474,4.19477,"House","Private room",2,"1",1,"$55.00",5,12,98,0,65,1950
"43",954903,"spain","islas-baleares","menorca","2020-05-31","Mahón",39.87657,4.26157,"House","Entire home/apt",8,"5+",5,"$243.00",7,30,NA,28,243,486
"44",958828,"spain","islas-baleares","menorca","2020-05-31","Es Mercadal",40.0345,4.1647,"Apartment","Entire home/apt",6,"3",6,"$95.00",3,300,94,21,120,1080
"45",959071,"spain","islas-baleares","menorca","2020-05-31","Ciutadella de Menorca",40.00141,3.80019,"Apartment","Entire home/apt",4,"2",3,"$50.00",3,60,92,23,67.1428571428571,470
"46",965059,"spain","islas-baleares","menorca","2020-05-31","Sant Lluís",39.81885,4.24626,"Villa","Entire home/apt",8,"4",8,"$300.00",10,1125,100,30,NA,0
"47",967834,"spain","islas-baleares","menorca","2020-05-31","Ciutadella de Menorca",39.99804,3.84306,"House","Entire home/apt",7,"3",4,"$113.00",2,60,100,29,150,150
"48",976380,"spain","islas-baleares","menorca","2020-05-31","Sant Lluís",39.8204,4.2472,"Apartment","Entire home/apt",4,"2",3,"$75.00",3,365,96,24,60,360
"49",976381,"spain","islas-baleares","menorca","2020-05-31","Sant Lluís",39.82071,4.24785,"Apartment","Entire home/apt",4,"2",3,"$69.00",3,365,96,17,60,780
"50",976386,"spain","islas-baleares","menorca","2020-05-31","Sant Lluís",39.82108,4.24738,"Apartment","Entire home/apt",4,"2",3,"$55.00",3,365,93,28,60,120
"51",994133,"spain","islas-baleares","menorca","2020-05-31","Ciutadella de Menorca",39.94053,3.96061,"Townhouse","Entire home/apt",4,"2",3,"$52.00",7,30,97,19,113.636363636364,1250
"52",999469,"spain","islas-baleares","menorca","2020-05-31","Ciutadella de Menorca",39.92813,3.83165,"Apartment","Entire home/apt",5,"2",4,"$60.00",1,1125,95,30,NA,0
"53",1029964,"spain","islas-baleares","menorca","2020-05-31","Es Mercadal",40.02464,4.18634,"Cottage","Entire home/apt",8,"4",6,"$95.00",3,100,95,25,115,575
"54",1051299,"spain","islas-baleares","menorca","2020-05-31","Sant Lluís",39.81527,4.24737,"Townhouse","Entire home/apt",4,"3",4,"$126.00",4,365,88,27,155,465
"55",1052325,"spain","islas-baleares","menorca","2020-05-31","Ciutadella de Menorca",39.9299,3.82455,"Condominium","Entire home/apt",4,"1",4,"$70.00",5,28,90,22,105,840
"56",1053577,"spain","islas-baleares","menorca","2020-05-31","Ciutadella de Menorca",40.00219,3.79922,"House","Entire home/apt",4,"2",0,"$125.00",7,30,94,23,125,875
"57",1054514,"spain","islas-baleares","menorca","2020-05-31","Mahón",39.85053,4.17163,"Villa","Entire home/apt",8,"4",7,"$110.00",3,1125,95,3,203.074074074074,5483
"58",1054742,"spain","islas-baleares","menorca","2020-05-31","Ciutadella de Menorca",40.05278,3.88865,"House","Entire home/apt",10,"5+",7,"$244.00",1,1125,96,29,249,249
"59",1065016,"spain","islas-baleares","menorca","2020-05-31","Ciutadella de Menorca",40.05099,3.88868,"Apartment","Entire home/apt",6,"3",4,"$125.00",5,30,96,24,209,1254
"60",1074055,"spain","islas-baleares","menorca","2020-05-31","Sant Lluís",39.82896,4.21128,"Apartment","Entire home/apt",4,"0",3,"$120.00",1,1125,80,30,NA,0
"61",1094052,"spain","islas-baleares","menorca","2020-05-31","Ciutadella de Menorca",39.97646,3.85539,"Bungalow","Entire home/apt",2,"1",2,"$97.00",7,1125,98,0,97,2910
"62",1094228,"spain","islas-baleares","menorca","2020-05-31","Ciutadella de Menorca",39.99644,3.82953,"Apartment","Entire home/apt",4,"2",3,"$160.00",7,1125,99,0,159.333333333333,4780
"63",1141365,"spain","islas-baleares","menorca","2020-05-31","Sant Lluís",39.84173,4.25724,"Cottage","Entire home/apt",10,"5+",6,"$360.00",4,1125,95,19,349.636363636364,3846
"64",1162522,"spain","islas-baleares","menorca","2020-05-31","Ciutadella de Menorca",40.00259,3.83603,"House","Entire home/apt",6,"2",6,"$70.00",1,365,92,30,NA,0
"65",1208231,"spain","islas-baleares","menorca","2020-05-31","Ciutadella de Menorca",39.9416,3.9601,"Townhouse","Entire home/apt",4,"2",3,"$52.00",7,30,94,30,NA,0
"66",1211972,"spain","islas-baleares","menorca","2020-05-31","Es Mercadal",40.0543,4.05749,"House","Entire home/apt",12,"4",11,"$250.00",5,1125,96,15,306.333333333333,4595
"67",1217315,"spain","islas-baleares","menorca","2020-05-31","Es Castell",39.85642,4.29542,"Tiny house","Entire home/apt",4,"1",1,"$98.00",5,29,92,0,98,2940
"68",1225705,"spain","islas-baleares","menorca","2020-05-31","Es Mercadal",40.01368,4.18734,"House","Entire home/apt",6,"4",6,"$370.00",15,1125,NA,30,NA,0
"69",1229737,"spain","islas-baleares","menorca","2020-05-31","Ciutadella de Menorca",39.99995,3.82949,"House","Entire home/apt",6,"3",4,"$100.00",3,1125,99,22,350,2800
