"","id","country","region","city","date","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","review_scores_rating","availability_30","price_30","revenue_30"
"1",32347,"spain","andaluc%C3%ADa","sevilla","2020-06-29","San Vicente",37.39468,-6.00183,"Apartment","Entire home/apt",4,"2",2,"$99.00",2,120,97,29,75,75
"2",49287,"spain","andaluc%C3%ADa","sevilla","2020-06-29","Feria",37.39855,-5.99365,"Apartment","Entire home/apt",3,"1",1,"$49.00",1,1125,93,24,51,306
"3",94187,"spain","andaluc%C3%ADa","sevilla","2020-06-29","San Bartolomé",37.39012,-5.98676,"House","Private room",2,"1",0,"$55.00",2,365,87,30,NA,0
"4",108568,"spain","andaluc%C3%ADa","sevilla","2020-06-29","Feria",37.39939,-5.99237,"Apartment","Entire home/apt",6,"2",4,"$65.00",3,365,92,29,60,60
"5",116703,"spain","andaluc%C3%ADa","sevilla","2020-06-29","Arenal",37.3868,-5.99666,"Apartment","Entire home/apt",4,"1",2,"$65.00",3,365,91,23,60.7142857142857,425
"6",117278,"spain","andaluc%C3%ADa","sevilla","2020-06-29","Arenal",37.38595,-5.997,"Apartment","Entire home/apt",4,"1",3,"$60.00",3,365,91,30,NA,0
"7",120619,"spain","andaluc%C3%ADa","sevilla","2020-06-29","Santa Cruz",37.38814,-5.99399,"Apartment","Private room",2,"1",2,"$35.00",1,30,90,30,NA,0
"8",131987,"spain","andaluc%C3%ADa","sevilla","2020-06-29","San Vicente",37.39455,-6.00094,"Apartment","Entire home/apt",4,"1",2,"$69.00",4,365,98,30,NA,0
"9",144918,"spain","andaluc%C3%ADa","sevilla","2020-06-29","Triana Casco Antiguo",37.38222,-5.99989,"Apartment","Entire home/apt",4,"1",2,"$46.00",2,90,93,29,46,46
"10",159596,"spain","andaluc%C3%ADa","sevilla","2020-06-29","Arenal",37.38456,-5.99583,"Apartment","Entire home/apt",4,"2",2,"$100.00",64,330,92,28,100,200
"11",179629,"spain","andaluc%C3%ADa","sevilla","2020-06-29","Alfalfa",37.38948,-5.99238,"Apartment","Entire home/apt",5,"3",4,"$115.00",3,365,90,15,70,1050
"12",185356,"spain","andaluc%C3%ADa","sevilla","2020-06-29","Cruz Roja, Capuchinos",37.4011,-5.98396,"Apartment","Entire home/apt",7,"3",7,"$110.00",3,365,88,3,110,2970
"13",201209,"spain","andaluc%C3%ADa","sevilla","2020-06-29","Las Avenidas",37.41096,-5.98477,"Apartment","Entire home/apt",8,"3",5,"$60.00",2,365,84,0,57.2666666666667,1718
"14",207702,"spain","andaluc%C3%ADa","sevilla","2020-06-29","Museo",37.38945,-5.99889,"Apartment","Entire home/apt",2,"1",1,"$77.00",3,30,97,0,55.3333333333333,1660
"15",217440,"spain","andaluc%C3%ADa","sevilla","2020-06-29","Santa Cruz",37.3885,-5.99344,"Apartment","Private room",2,"1",2,"$35.00",1,7,90,23,33.5714285714286,235
"16",219958,"spain","andaluc%C3%ADa","sevilla","2020-06-29","Heliópolis",37.35385,-5.98488,"Guest suite","Entire home/apt",9,"3",6,"$120.00",2,365,95,12,169.444444444444,3050
"17",227905,"spain","andaluc%C3%ADa","sevilla","2020-06-29","San Vicente",37.3948,-6.00121,"Apartment","Private room",1,"1",1,"$30.00",1,30,98,29,30,30
"18",229403,"spain","andaluc%C3%ADa","sevilla","2020-06-29","Feria",37.39913,-5.99088,"Apartment","Entire home/apt",2,"1",1,"$52.00",365,365,89,30,NA,0
"19",253430,"spain","andaluc%C3%ADa","sevilla","2020-06-29","Alfalfa",37.39002,-5.99061,"Apartment","Entire home/apt",2,"1",1,"$50.00",2,365,95,30,NA,0
"20",266016,"spain","andaluc%C3%ADa","sevilla","2020-06-29","San Bernardo",37.38081,-5.98592,"Loft","Entire home/apt",6,"2",4,"$65.00",2,365,92,30,NA,0
"21",272934,"spain","andaluc%C3%ADa","sevilla","2020-06-29","Santa Cruz",37.38874,-5.99297,"Apartment","Entire home/apt",6,"2",3,"$115.00",1,1125,89,29,75,75
"22",273981,"spain","andaluc%C3%ADa","sevilla","2020-06-29","Alfalfa",37.39006,-5.99521,"Apartment","Entire home/apt",6,"2",3,"$115.00",1,1125,90,29,75,75
"23",288900,"spain","andaluc%C3%ADa","sevilla","2020-06-29","El Cerro",37.37064,-5.95717,"Apartment","Entire home/apt",2,"1",1,"$45.00",2,1125,95,30,NA,0
"24",298673,"spain","andaluc%C3%ADa","sevilla","2020-06-29","Encarnación, Regina",37.39362,-5.99065,"Apartment","Entire home/apt",4,"1",2,"$61.00",2,14,99,26,40,160
"25",315971,"spain","andaluc%C3%ADa","sevilla","2020-06-29","San Vicente",37.39493,-5.99899,"Tiny house","Private room",1,"1",1,"$30.00",2,30,94,17,30,390
"26",321192,"spain","andaluc%C3%ADa","sevilla","2020-06-29","an Roque",37.39236,-5.98361,"Apartment","Entire home/apt",6,"2",4,"$75.00",2,365,95,29,59,59
"27",343997,"spain","andaluc%C3%ADa","sevilla","2020-06-29","Santa Cruz",37.38894,-5.99274,"Apartment","Entire home/apt",3,"1",1,"$65.00",3,250,96,26,73,292
"28",366257,"spain","andaluc%C3%ADa","sevilla","2020-06-29","Triana Casco Antiguo",37.38657,-6.00551,"Loft","Entire home/apt",2,"1",1,"$37.00",3,59,98,8,45.2272727272727,995
"29",369170,"spain","andaluc%C3%ADa","sevilla","2020-06-29","Feria",37.39626,-5.99312,"Apartment","Entire home/apt",4,"2",4,"$120.00",2,320,91,26,54.5,218
"30",369324,"spain","andaluc%C3%ADa","sevilla","2020-06-29","Feria",37.39677,-5.9914,"Townhouse","Private room",1,"1",1,"$35.00",4,360,93,0,27.3333333333333,820
"31",384727,"spain","andaluc%C3%ADa","sevilla","2020-06-29","Arenal",37.38498,-5.9944,"Apartment","Private room",2,"1",1,"$48.00",3,12,97,11,48,912
"32",394083,"spain","andaluc%C3%ADa","sevilla","2020-06-29","San Bernardo",37.38197,-5.98289,"Apartment","Entire home/apt",4,"1",2,"$60.00",1,1125,88,15,54.6666666666667,820
"33",394707,"spain","andaluc%C3%ADa","sevilla","2020-06-29","Los Remedios",37.37766,-5.99885,"House","Private room",2,"1",1,"$28.00",1,7,88,0,28,840
"34",398966,"spain","andaluc%C3%ADa","sevilla","2020-06-29","Feria",37.39634,-5.98925,"Apartment","Entire home/apt",4,"2",3,"$78.00",3,365,93,30,NA,0
"35",402692,"spain","andaluc%C3%ADa","sevilla","2020-06-29","Los Remedios",37.37672,-5.99865,"Apartment","Private room",2,"1",2,"$38.00",2,1125,86,30,NA,0
"36",408801,"spain","andaluc%C3%ADa","sevilla","2020-06-29","La Paz, Las Golondrinas",37.41103,-5.98806,"Apartment","Entire home/apt",5,"3",4,"$48.00",2,1125,91,30,NA,0
"37",411569,"spain","andaluc%C3%ADa","sevilla","2020-06-29","Encarnación, Regina",37.39363,-5.99071,"Apartment","Entire home/apt",2,"1",2,"$383.00",2,59,95,30,NA,0
"38",426133,"spain","andaluc%C3%ADa","sevilla","2020-06-29","Triana Casco Antiguo",37.38851,-6.00727,"Apartment","Entire home/apt",3,"0",2,"$50.00",3,1125,96,29,40,40
"39",426401,"spain","andaluc%C3%ADa","sevilla","2020-06-29","San Vicente",37.39452,-6.00009,"Apartment","Entire home/apt",4,"1",4,"$55.00",2,30,92,28,55,110
"40",427314,"spain","andaluc%C3%ADa","sevilla","2020-06-29","Museo",37.38951,-5.99833,"Apartment","Entire home/apt",10,"3",6,"$200.00",2,1125,91,30,NA,0
"41",435402,"spain","andaluc%C3%ADa","sevilla","2020-06-29","San Vicente",37.39573,-5.9959,"Apartment","Entire home/apt",3,"1",1,"$59.00",3,120,97,0,59,1770
"42",443685,"spain","andaluc%C3%ADa","sevilla","2020-06-29","Arenal",37.38863,-5.99921,"Apartment","Entire home/apt",3,"1",2,"$90.00",2,365,84,0,54,1620
"43",455380,"spain","andaluc%C3%ADa","sevilla","2020-06-29","Feria",37.39812,-5.99138,"Apartment","Entire home/apt",6,"2",3,"$145.00",1,365,93,29,150,150
