"","id","country","region","city","date","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","review_scores_rating","availability_30","price_30","revenue_30"
"1",4620,"spain","vc","valencia","2020-06-30","LA MALVA-ROSA",39.47553,-0.32461,"Townhouse","Entire home/apt",7,"4",6,"$150.00",2,365,83,4,122.5,3185
"2",45528,"spain","vc","valencia","2020-06-30","EL SALER",39.3553,-0.32387,"Condominium","Entire home/apt",4,"2",3,"$80.00",15,30,93,0,80,2400
"3",48154,"spain","vc","valencia","2020-06-30","MORVEDRE",39.48575,-0.37428,"Apartment","Entire home/apt",4,"2",2,"$45.00",3,15,92,18,74.1666666666667,890
"4",55692,"spain","vc","valencia","2020-06-30","LA SEU",39.47681,-0.37523,"Apartment","Entire home/apt",3,"1",1,"$100.00",1,730,100,0,100,3000
"5",95393,"spain","vc","valencia","2020-06-30","EL CARME",39.47787,-0.38142,"Apartment","Entire home/apt",6,"3",6,"$134.00",1,14,96,26,136.5,546
"6",100347,"spain","vc","valencia","2020-06-30","ARRANCAPINS",39.45965,-0.38453,"Apartment","Entire home/apt",6,"3",3,"$100.00",5,10,94,27,110,330
"7",102524,"spain","vc","valencia","2020-06-30","CABANYAL-CANYAMELAR",39.47209,-0.33098,"House","Entire home/apt",16,"5+",16,"$400.00",3,1125,92,19,425,4675
"8",103386,"spain","vc","valencia","2020-06-30","EL PILAR",39.47591,-0.38243,"Serviced apartment","Entire home/apt",5,"2",3,"$84.00",1,14,93,29,84,84
"9",121035,"spain","vc","valencia","2020-06-30","SANT FRANCESC",39.47156,-0.37603,"House","Private room",2,"1",1,"$37.00",1,30,90,0,38.9333333333333,1168
"10",129331,"spain","vc","valencia","2020-06-30","LA ROQUETA",39.46848,-0.38074,"Apartment","Entire home/apt",2,"1",1,"$55.00",5,150,87,26,55,220
"11",136378,"spain","vc","valencia","2020-06-30","EL MERCAT",39.47387,-0.3777,"Condominium","Entire home/apt",3,"1",0,"$75.00",5,90,89,14,75,1200
"12",137737,"spain","vc","valencia","2020-06-30","LA PETXINA",39.46992,-0.39093,"Apartment","Entire home/apt",2,"1",1,"$55.00",2,20,86,0,100,3000
"13",146771,"spain","vc","valencia","2020-06-30","EN CORTS",39.45624,-0.36809,"House","Private room",2,"1",1,"$32.00",2,30,90,30,NA,0
"14",147548,"spain","vc","valencia","2020-06-30","MONT-OLIVET",39.46195,-0.36063,"Apartment","Entire home/apt",11,"4",9,"$280.00",2,330,97,27,320,960
"15",149715,"spain","vc","valencia","2020-06-30","CABANYAL-CANYAMELAR",39.46609,-0.32673,"House","Entire home/apt",10,"5+",7,"$215.00",3,30,92,15,211,3165
"16",152369,"spain","vc","valencia","2020-06-30","EL CARME",39.47863,-0.38219,"Loft","Entire home/apt",2,"0",1,"$60.00",2,365,97,29,60,60
"17",153375,"spain","vc","valencia","2020-06-30","MONT-OLIVET",39.46031,-0.35974,"Apartment","Entire home/apt",2,"1",2,"$20.00",180,1125,NA,0,20,600
"18",165971,"spain","vc","valencia","2020-06-30","LA ROQUETA",39.4679,-0.38206,"Apartment","Entire home/apt",5,"1",2,"$56.00",4,27,98,15,67.0666666666667,1006
"19",166315,"spain","vc","valencia","2020-06-30","EL MERCAT",39.47237,-0.37965,"Apartment","Entire home/apt",4,"1",4,"$80.00",5,90,98,20,80,800
"20",169284,"spain","vc","valencia","2020-06-30","NOU MOLES",39.46759,-0.39067,"Apartment","Entire home/apt",3,"1",1,"$30.00",1,1125,88,4,32.6923076923077,850
"21",182221,"spain","vc","valencia","2020-06-30","LA CREU DEL GRAU",39.46167,-0.34249,"Apartment","Entire home/apt",6,"2",5,"$90.00",1,1125,90,29,120,120
"22",185398,"spain","vc","valencia","2020-06-30","LA PETXINA",39.47398,-0.39155,"Apartment","Entire home/apt",8,"3",8,"$59.00",1,1125,95,30,NA,0
"23",191651,"spain","vc","valencia","2020-06-30","BENICALAP",39.49345,-0.3933,"Condominium","Entire home/apt",8,"4",5,"$80.00",3,360,81,30,NA,0
"24",192674,"spain","vc","valencia","2020-06-30","EL CARME",39.48034,-0.37912,"Apartment","Entire home/apt",5,"2",3,"$90.00",3,365,97,30,NA,0
"25",193326,"spain","vc","valencia","2020-06-30","CABANYAL-CANYAMELAR",39.47294,-0.32912,"Apartment","Private room",2,"1",2,"$21.00",1,1125,97,30,NA,0
"26",222753,"spain","vc","valencia","2020-06-30","EN CORTS",39.4578,-0.36927,"House","Private room",3,"2",2,"$31.00",2,365,86,30,NA,0
"27",225070,"spain","vc","valencia","2020-06-30","CABANYAL-CANYAMELAR",39.47152,-0.32993,"Apartment","Private room",2,"1",3,"$19.00",1,365,97,30,NA,0
"28",231347,"spain","vc","valencia","2020-06-30","EL MERCAT",39.47281,-0.37767,"Apartment","Entire home/apt",6,"2",3,"$60.00",1,1125,97,27,67.6666666666667,203
"29",231367,"spain","vc","valencia","2020-06-30","MONT-OLIVET",39.45747,-0.36805,"Apartment","Entire home/apt",2,"1",1,"$42.00",1,1125,98,0,87.3333333333333,2620
"30",247994,"spain","vc","valencia","2020-06-30","LA MALVA-ROSA",39.48082,-0.32889,"Condominium","Entire home/apt",5,"2",4,"$65.00",3,364,89,0,65,1950
"31",250981,"spain","vc","valencia","2020-06-30","LA CREU DEL GRAU",39.46271,-0.34266,"Apartment","Entire home/apt",6,"2",3,"$94.00",3,365,100,29,130,130
"32",252608,"spain","vc","valencia","2020-06-30","LA SEU",39.47499,-0.3751,"Condominium","Entire home/apt",4,"1",2,"$80.00",6,1125,87,0,80,2400
"33",260929,"spain","vc","valencia","2020-06-30","EXPOSICIO",39.47686,-0.36422,"Apartment","Private room",2,"1",1,"$45.00",2,25,95,29,45,45
"34",260935,"spain","vc","valencia","2020-06-30","EXPOSICIO",39.47663,-0.36315,"Apartment","Private room",2,"1",1,"$35.00",1,21,94,29,35,35
"35",265340,"spain","vc","valencia","2020-06-30","RUSSAFA",39.46255,-0.37454,"Loft","Entire home/apt",2,"1",1,"$85.00",2,180,95,30,NA,0
"36",273373,"spain","vc","valencia","2020-06-30","LA MALVA-ROSA",39.48183,-0.32578,"Townhouse","Entire home/apt",14,"4",14,"$270.00",3,365,90,2,325,9100
"37",276455,"spain","vc","valencia","2020-06-30","LA CARRASCA",39.47273,-0.33993,"Apartment","Private room",1,"1",1,"$38.00",2,14,NA,30,NA,0
